"","Year","County","Size.of.Holding","value"
"2140","1855","Roscommon","5-15 Acres",8804
"2141","1860","Roscommon","5-15 Acres",8941
"2142","1865","Roscommon","5-15 Acres",8554
"2143","1870","Roscommon","5-15 Acres",8657
"2144","1875","Roscommon","5-15 Acres",8613
"2145","1880","Roscommon","5-15 Acres",8556
"2146","1885","Roscommon","5-15 Acres",8257
"2147","1890","Roscommon","5-15 Acres",8183
"2148","1895","Roscommon","5-15 Acres",8136
"2149","1900","Roscommon","5-15 Acres",8718
"2150","1905","Roscommon","5-15 Acres",8560
"2151","1910","Roscommon","5-15 Acres",8581
"2152","1915","Roscommon","5-15 Acres",7052
"2153","1930","Roscommon","5-15 Acres",4815
"2154","1940","Roscommon","5-15 Acres",3852
"2155","1945","Roscommon","5-15 Acres",3597
"2156","1950","Roscommon","5-15 Acres",3471
"2157","1955","Roscommon","5-15 Acres",3325
"2158","1960","Roscommon","5-15 Acres",2193
"2159","1965","Roscommon","5-15 Acres",1974
"2160","1970","Roscommon","5-15 Acres",1929
"2161","1975","Roscommon","5-15 Acres",1742
"2162","1980","Roscommon","5-15 Acres",1619
"2163","1855","Sligo","5-15 Acres",5888
"2164","1860","Sligo","5-15 Acres",6154
"2165","1865","Sligo","5-15 Acres",6038
"2166","1870","Sligo","5-15 Acres",6120
"2167","1875","Sligo","5-15 Acres",6133
"2168","1880","Sligo","5-15 Acres",5860
"2169","1885","Sligo","5-15 Acres",5772
"2170","1890","Sligo","5-15 Acres",5546
"2171","1895","Sligo","5-15 Acres",5814
"2172","1900","Sligo","5-15 Acres",5589
"2173","1905","Sligo","5-15 Acres",5492
"2174","1910","Sligo","5-15 Acres",5379
"2175","1915","Sligo","5-15 Acres",4968
"2176","1930","Sligo","5-15 Acres",3581
"2177","1940","Sligo","5-15 Acres",3326
"2178","1945","Sligo","5-15 Acres",3159
"2179","1950","Sligo","5-15 Acres",3057
"2180","1955","Sligo","5-15 Acres",2901
"2181","1960","Sligo","5-15 Acres",1900
"2182","1965","Sligo","5-15 Acres",1801
"2183","1970","Sligo","5-15 Acres",1703
"2184","1975","Sligo","5-15 Acres",1506
"2185","1980","Sligo","5-15 Acres",1408
"2186","1855","Ulster","5-15 Acres",29030
"2187","1860","Ulster","5-15 Acres",29740
"2188","1865","Ulster","5-15 Acres",28616
"2189","1870","Ulster","5-15 Acres",27760
"2190","1875","Ulster","5-15 Acres",27038
"2191","1880","Ulster","5-15 Acres",26018
"2192","1885","Ulster","5-15 Acres",25183
"2193","1890","Ulster","5-15 Acres",25019
"2194","1895","Ulster","5-15 Acres",24614
"2195","1900","Ulster","5-15 Acres",24651
"2196","1905","Ulster","5-15 Acres",24815
"2197","1910","Ulster","5-15 Acres",24660
"2198","1915","Ulster","5-15 Acres",21441
"2199","1930","Ulster","5-15 Acres",16074
"2200","1940","Ulster","5-15 Acres",14858
"2201","1945","Ulster","5-15 Acres",14028
"2202","1950","Ulster","5-15 Acres",13414
"2203","1955","Ulster","5-15 Acres",12698
"2204","1960","Ulster","5-15 Acres",10470
"2205","1965","Ulster","5-15 Acres",9614
"2206","1970","Ulster","5-15 Acres",9374
"2207","1975","Ulster","5-15 Acres",8809
"2208","1980","Ulster","5-15 Acres",8384
"2209","1855","Cavan","5-15 Acres",8629
"2210","1860","Cavan","5-15 Acres",8496
"2211","1865","Cavan","5-15 Acres",7866
"2212","1870","Cavan","5-15 Acres",7641
"2213","1875","Cavan","5-15 Acres",7594
"2214","1880","Cavan","5-15 Acres",7219
"2215","1885","Cavan","5-15 Acres",7091
"2216","1890","Cavan","5-15 Acres",7114
"2217","1895","Cavan","5-15 Acres",7019
"2218","1900","Cavan","5-15 Acres",6916
"2219","1905","Cavan","5-15 Acres",6968
"2220","1910","Cavan","5-15 Acres",6905
"2221","1915","Cavan","5-15 Acres",6225
"2222","1930","Cavan","5-15 Acres",4073
"2223","1940","Cavan","5-15 Acres",3829
"2224","1945","Cavan","5-15 Acres",3544
"2225","1950","Cavan","5-15 Acres",3314
"2226","1955","Cavan","5-15 Acres",3135
"2227","1960","Cavan","5-15 Acres",2469
"2228","1965","Cavan","5-15 Acres",2164
"2229","1970","Cavan","5-15 Acres",2111
"2230","1975","Cavan","5-15 Acres",1890
"2231","1980","Cavan","5-15 Acres",1648
"2232","1855","Donegal","5-15 Acres",10903
"2233","1860","Donegal","5-15 Acres",11831
"2234","1865","Donegal","5-15 Acres",11652
"2235","1870","Donegal","5-15 Acres",11309
"2236","1875","Donegal","5-15 Acres",11061
"2237","1880","Donegal","5-15 Acres",10739
"2238","1885","Donegal","5-15 Acres",10375
"2239","1890","Donegal","5-15 Acres",10309
"2240","1895","Donegal","5-15 Acres",10099
"2241","1900","Donegal","5-15 Acres",10399
"2242","1905","Donegal","5-15 Acres",10526
"2243","1910","Donegal","5-15 Acres",10446
"2244","1915","Donegal","5-15 Acres",9520
"2245","1930","Donegal","5-15 Acres",7960
"2246","1940","Donegal","5-15 Acres",7559
"2247","1945","Donegal","5-15 Acres",7362
"2248","1950","Donegal","5-15 Acres",7117
"2249","1955","Donegal","5-15 Acres",6766
"2250","1960","Donegal","5-15 Acres",5585
"2251","1965","Donegal","5-15 Acres",5427
"2252","1970","Donegal","5-15 Acres",5317
"2253","1975","Donegal","5-15 Acres",5123
"2254","1980","Donegal","5-15 Acres",5013
"2255","1855","Monaghan","5-15 Acres",9498
"2256","1860","Monaghan","5-15 Acres",9413
"2257","1865","Monaghan","5-15 Acres",9098
"2258","1870","Monaghan","5-15 Acres",8810
"2259","1875","Monaghan","5-15 Acres",8383
"2260","1880","Monaghan","5-15 Acres",8060
"2261","1885","Monaghan","5-15 Acres",7717
"2262","1890","Monaghan","5-15 Acres",7596
"2263","1895","Monaghan","5-15 Acres",7496
"2264","1900","Monaghan","5-15 Acres",7336
"2265","1905","Monaghan","5-15 Acres",7321
"2266","1910","Monaghan","5-15 Acres",7309
"2267","1915","Monaghan","5-15 Acres",5696
"2268","1930","Monaghan","5-15 Acres",4041
"2269","1940","Monaghan","5-15 Acres",3470
"2270","1945","Monaghan","5-15 Acres",3122
"2271","1950","Monaghan","5-15 Acres",2983
"2272","1955","Monaghan","5-15 Acres",2797
"2273","1960","Monaghan","5-15 Acres",2416
"2274","1965","Monaghan","5-15 Acres",2023
"2275","1970","Monaghan","5-15 Acres",1946
"2276","1975","Monaghan","5-15 Acres",1796
"2277","1980","Monaghan","5-15 Acres",1723
"2278","1855","State","15-30 Acres",101514
"2279","1860","State","15-30 Acres",103650
"2280","1865","State","15-30 Acres",100492
"2281","1870","State","15-30 Acres",101721
"2282","1875","State","15-30 Acres",101509
"2283","1880","State","15-30 Acres",101233
"2284","1885","State","15-30 Acres",100526
"2285","1890","State","15-30 Acres",100256
"2286","1895","State","15-30 Acres",99954
"2287","1900","State","15-30 Acres",100194
"2288","1905","State","15-30 Acres",101140
"2289","1910","State","15-30 Acres",103547
"2290","1915","State","15-30 Acres",94414
"2291","1930","State","15-30 Acres",91150
"2292","1940","State","15-30 Acres",90826
"2293","1945","State","15-30 Acres",88752
"2294","1950","State","15-30 Acres",86578
"2295","1955","State","15-30 Acres",83896
"2296","1960","State","15-30 Acres",73295
"2297","1965","State","15-30 Acres",68771
"2298","1970","State","15-30 Acres",65773
"2299","1975","State","15-30 Acres",61477
"2300","1980","State","15-30 Acres",57870
"2301","1855","Leinster","15-30 Acres",24366
"2302","1860","Leinster","15-30 Acres",24231
"2303","1865","Leinster","15-30 Acres",23378
"2304","1870","Leinster","15-30 Acres",23306
"2305","1875","Leinster","15-30 Acres",23057
"2306","1880","Leinster","15-30 Acres",22581
"2307","1885","Leinster","15-30 Acres",22415
"2308","1890","Leinster","15-30 Acres",22323
"2309","1895","Leinster","15-30 Acres",22097
"2310","1900","Leinster","15-30 Acres",21952
"2311","1905","Leinster","15-30 Acres",21891
"2312","1910","Leinster","15-30 Acres",22137
"2313","1915","Leinster","15-30 Acres",18220
"2314","1930","Leinster","15-30 Acres",17544
"2315","1940","Leinster","15-30 Acres",18079
"2316","1945","Leinster","15-30 Acres",17360
"2317","1950","Leinster","15-30 Acres",16926
"2318","1955","Leinster","15-30 Acres",16379
"2319","1960","Leinster","15-30 Acres",13967
"2320","1965","Leinster","15-30 Acres",13112
"2321","1970","Leinster","15-30 Acres",12656
"2322","1975","Leinster","15-30 Acres",11751
"2323","1980","Leinster","15-30 Acres",11064
"2324","1855","Carlow","15-30 Acres",1107
"2325","1860","Carlow","15-30 Acres",1047
"2326","1865","Carlow","15-30 Acres",1019
"2327","1870","Carlow","15-30 Acres",1014
"2328","1875","Carlow","15-30 Acres",968
"2329","1880","Carlow","15-30 Acres",944
"2330","1885","Carlow","15-30 Acres",939
"2331","1890","Carlow","15-30 Acres",994
"2332","1895","Carlow","15-30 Acres",1012
"2333","1900","Carlow","15-30 Acres",994
"2334","1905","Carlow","15-30 Acres",955
"2335","1910","Carlow","15-30 Acres",971
"2336","1915","Carlow","15-30 Acres",729
"2337","1930","Carlow","15-30 Acres",758
"2338","1940","Carlow","15-30 Acres",695
"2339","1945","Carlow","15-30 Acres",645
"2340","1950","Carlow","15-30 Acres",613
"2341","1955","Carlow","15-30 Acres",597
"2342","1960","Carlow","15-30 Acres",471
"2343","1965","Carlow","15-30 Acres",422
"2344","1970","Carlow","15-30 Acres",479
"2345","1975","Carlow","15-30 Acres",425
"2346","1980","Carlow","15-30 Acres",396
"2347","1855","Dublin","15-30 Acres",1046
"2348","1860","Dublin","15-30 Acres",1020
"2349","1865","Dublin","15-30 Acres",1003
"2350","1870","Dublin","15-30 Acres",1014
"2351","1875","Dublin","15-30 Acres",958
"2352","1880","Dublin","15-30 Acres",940
"2353","1885","Dublin","15-30 Acres",942
"2354","1890","Dublin","15-30 Acres",958
"2355","1895","Dublin","15-30 Acres",938
"2356","1900","Dublin","15-30 Acres",911
"2357","1905","Dublin","15-30 Acres",912
"2358","1910","Dublin","15-30 Acres",900
"2359","1915","Dublin","15-30 Acres",682
"2360","1930","Dublin","15-30 Acres",641
"2361","1940","Dublin","15-30 Acres",725
"2362","1945","Dublin","15-30 Acres",739
"2363","1950","Dublin","15-30 Acres",752
"2364","1955","Dublin","15-30 Acres",769
"2365","1960","Dublin","15-30 Acres",685
"2366","1965","Dublin","15-30 Acres",703
"2367","1970","Dublin","15-30 Acres",566
"2368","1975","Dublin","15-30 Acres",555
"2369","1980","Dublin","15-30 Acres",515
"2370","1855","Kildare","15-30 Acres",1223
"2371","1860","Kildare","15-30 Acres",1259
"2372","1865","Kildare","15-30 Acres",1238
"2373","1870","Kildare","15-30 Acres",1216
"2374","1875","Kildare","15-30 Acres",1249
"2375","1880","Kildare","15-30 Acres",1166
"2376","1885","Kildare","15-30 Acres",1170
"2377","1890","Kildare","15-30 Acres",1198
"2378","1895","Kildare","15-30 Acres",1102
"2379","1900","Kildare","15-30 Acres",1134
"2380","1905","Kildare","15-30 Acres",1099
"2381","1910","Kildare","15-30 Acres",1120
"2382","1915","Kildare","15-30 Acres",885
"2383","1930","Kildare","15-30 Acres",862
"2384","1940","Kildare","15-30 Acres",1198
"2385","1945","Kildare","15-30 Acres",1223
"2386","1950","Kildare","15-30 Acres",1200
"2387","1955","Kildare","15-30 Acres",1153
"2388","1960","Kildare","15-30 Acres",988
"2389","1965","Kildare","15-30 Acres",931
"2390","1970","Kildare","15-30 Acres",911
"2391","1975","Kildare","15-30 Acres",901
"2392","1980","Kildare","15-30 Acres",833
"2393","1855","Kilkenny","15-30 Acres",3022
"2394","1860","Kilkenny","15-30 Acres",2940
"2395","1865","Kilkenny","15-30 Acres",2842
"2396","1870","Kilkenny","15-30 Acres",2804
"2397","1875","Kilkenny","15-30 Acres",2726
"2398","1880","Kilkenny","15-30 Acres",2662
"2399","1885","Kilkenny","15-30 Acres",2618
"2400","1890","Kilkenny","15-30 Acres",2531
"2401","1895","Kilkenny","15-30 Acres",2482
"2402","1900","Kilkenny","15-30 Acres",2460
"2403","1905","Kilkenny","15-30 Acres",2489
"2404","1910","Kilkenny","15-30 Acres",2439
"2405","1915","Kilkenny","15-30 Acres",1777
"2406","1930","Kilkenny","15-30 Acres",1377
"2407","1940","Kilkenny","15-30 Acres",1269
"2408","1945","Kilkenny","15-30 Acres",1127
"2409","1950","Kilkenny","15-30 Acres",1081
"2410","1955","Kilkenny","15-30 Acres",1089
"2411","1960","Kilkenny","15-30 Acres",885
"2412","1965","Kilkenny","15-30 Acres",843
"2413","1970","Kilkenny","15-30 Acres",854
"2414","1975","Kilkenny","15-30 Acres",754
"2415","1980","Kilkenny","15-30 Acres",707
"2416","1855","Laoghais","15-30 Acres",2196
"2417","1860","Laoghais","15-30 Acres",2211
"2418","1865","Laoghais","15-30 Acres",2141
"2419","1870","Laoghais","15-30 Acres",2192
"2420","1875","Laoghais","15-30 Acres",2148
"2421","1880","Laoghais","15-30 Acres",2058
"2422","1885","Laoghais","15-30 Acres",2066
"2423","1890","Laoghais","15-30 Acres",2012
"2424","1895","Laoghais","15-30 Acres",2017
"2425","1900","Laoghais","15-30 Acres",2004
"2426","1905","Laoghais","15-30 Acres",2009
"2427","1910","Laoghais","15-30 Acres",2030
"2428","1915","Laoghais","15-30 Acres",1689
"2429","1930","Laoghais","15-30 Acres",1645
"2430","1940","Laoghais","15-30 Acres",1598
"2431","1945","Laoghais","15-30 Acres",1486
"2432","1950","Laoghais","15-30 Acres",1439
"2433","1955","Laoghais","15-30 Acres",1302
"2434","1960","Laoghais","15-30 Acres",1081
"2435","1965","Laoghais","15-30 Acres",979
"2436","1970","Laoghais","15-30 Acres",932
"2437","1975","Laoghais","15-30 Acres",855
"2438","1980","Laoghais","15-30 Acres",797
"2439","1855","Longford","15-30 Acres",2526
"2440","1860","Longford","15-30 Acres",2659
"2441","1865","Longford","15-30 Acres",2563
"2442","1870","Longford","15-30 Acres",2630
"2443","1875","Longford","15-30 Acres",2641
"2444","1880","Longford","15-30 Acres",2658
"2445","1885","Longford","15-30 Acres",2650
"2446","1890","Longford","15-30 Acres",2659
"2447","1895","Longford","15-30 Acres",2601
"2448","1900","Longford","15-30 Acres",2676
"2449","1905","Longford","15-30 Acres",2704
"2450","1910","Longford","15-30 Acres",2686
"2451","1915","Longford","15-30 Acres",2488
"2452","1930","Longford","15-30 Acres",2459
"2453","1940","Longford","15-30 Acres",2312
"2454","1945","Longford","15-30 Acres",2280
"2455","1950","Longford","15-30 Acres",2171
"2456","1955","Longford","15-30 Acres",2121
"2457","1960","Longford","15-30 Acres",1821
"2458","1965","Longford","15-30 Acres",1680
"2459","1970","Longford","15-30 Acres",1587
"2460","1975","Longford","15-30 Acres",1480
"2461","1980","Longford","15-30 Acres",1432
"2462","1855","Louth","15-30 Acres",1474
"2463","1860","Louth","15-30 Acres",1430
"2464","1865","Louth","15-30 Acres",1377
"2465","1870","Louth","15-30 Acres",1427
"2466","1875","Louth","15-30 Acres",1439
"2467","1880","Louth","15-30 Acres",1421
"2468","1885","Louth","15-30 Acres",1397
"2469","1890","Louth","15-30 Acres",1413
"2470","1895","Louth","15-30 Acres",1385
"2471","1900","Louth","15-30 Acres",1400
"2472","1905","Louth","15-30 Acres",1418
"2473","1910","Louth","15-30 Acres",1420
"2474","1915","Louth","15-30 Acres",1218
"2475","1930","Louth","15-30 Acres",1242
"2476","1940","Louth","15-30 Acres",1258
"2477","1945","Louth","15-30 Acres",1228
"2478","1950","Louth","15-30 Acres",1217
"2479","1955","Louth","15-30 Acres",1193
"2480","1960","Louth","15-30 Acres",1049
"2481","1965","Louth","15-30 Acres",1016
"2482","1970","Louth","15-30 Acres",1015
"2483","1975","Louth","15-30 Acres",882
"2484","1980","Louth","15-30 Acres",894
"2485","1855","Meath","15-30 Acres",2057
"2486","1860","Meath","15-30 Acres",2088
"2487","1865","Meath","15-30 Acres",2017
"2488","1870","Meath","15-30 Acres",1991
"2489","1875","Meath","15-30 Acres",1979
"2490","1880","Meath","15-30 Acres",1988
"2491","1885","Meath","15-30 Acres",1948
"2492","1890","Meath","15-30 Acres",1951
"2493","1895","Meath","15-30 Acres",1950
"2494","1900","Meath","15-30 Acres",1874
"2495","1905","Meath","15-30 Acres",1879
"2496","1910","Meath","15-30 Acres",1939
"2497","1915","Meath","15-30 Acres",1808
"2498","1930","Meath","15-30 Acres",2153
"2499","1940","Meath","15-30 Acres",2968
"2500","1945","Meath","15-30 Acres",2908
"2501","1950","Meath","15-30 Acres",2883
"2502","1955","Meath","15-30 Acres",2789
"2503","1960","Meath","15-30 Acres",2445
"2504","1965","Meath","15-30 Acres",2263
"2505","1970","Meath","15-30 Acres",2161
"2506","1975","Meath","15-30 Acres",2030
"2507","1980","Meath","15-30 Acres",1890
"2508","1855","Offaly","15-30 Acres",2258
"2509","1860","Offaly","15-30 Acres",2303
"2510","1865","Offaly","15-30 Acres",2165
"2511","1870","Offaly","15-30 Acres",2138
"2512","1875","Offaly","15-30 Acres",2138
"2513","1880","Offaly","15-30 Acres",2075
"2514","1885","Offaly","15-30 Acres",2109
"2515","1890","Offaly","15-30 Acres",2086
"2516","1895","Offaly","15-30 Acres",2070
"2517","1900","Offaly","15-30 Acres",2074
"2518","1905","Offaly","15-30 Acres",2036
"2519","1910","Offaly","15-30 Acres",2093
"2520","1915","Offaly","15-30 Acres",1709
"2521","1930","Offaly","15-30 Acres",1576
"2522","1940","Offaly","15-30 Acres",1574
"2523","1945","Offaly","15-30 Acres",1505
"2524","1950","Offaly","15-30 Acres",1428
"2525","1955","Offaly","15-30 Acres",1347
"2526","1960","Offaly","15-30 Acres",1138
"2527","1965","Offaly","15-30 Acres",1041
"2528","1970","Offaly","15-30 Acres",1065
"2529","1975","Offaly","15-30 Acres",946
"2530","1980","Offaly","15-30 Acres",887
"2531","1855","Westmeath","15-30 Acres",2276
"2532","1860","Westmeath","15-30 Acres",2255
"2533","1865","Westmeath","15-30 Acres",2219
"2534","1870","Westmeath","15-30 Acres",2220
"2535","1875","Westmeath","15-30 Acres",2242
"2536","1880","Westmeath","15-30 Acres",2190
"2537","1885","Westmeath","15-30 Acres",2230
"2538","1890","Westmeath","15-30 Acres",2168
"2539","1895","Westmeath","15-30 Acres",2159
"2540","1900","Westmeath","15-30 Acres",2134
"2541","1905","Westmeath","15-30 Acres",2179
"2542","1910","Westmeath","15-30 Acres",2309
"2543","1915","Westmeath","15-30 Acres",2128
"2544","1930","Westmeath","15-30 Acres",2150
"2545","1940","Westmeath","15-30 Acres",2004
"2546","1945","Westmeath","15-30 Acres",1907
"2547","1950","Westmeath","15-30 Acres",1887
"2548","1955","Westmeath","15-30 Acres",1828
"2549","1960","Westmeath","15-30 Acres",1551
"2550","1965","Westmeath","15-30 Acres",1473
"2551","1970","Westmeath","15-30 Acres",1361
"2552","1975","Westmeath","15-30 Acres",1285
"2553","1980","Westmeath","15-30 Acres",1210
"2554","1855","Wexford","15-30 Acres",3554
"2555","1860","Wexford","15-30 Acres",3455
"2556","1865","Wexford","15-30 Acres",3318
"2557","1870","Wexford","15-30 Acres",3219
"2558","1875","Wexford","15-30 Acres",3124
"2559","1880","Wexford","15-30 Acres",3107
"2560","1885","Wexford","15-30 Acres",3043
"2561","1890","Wexford","15-30 Acres",3085
"2562","1895","Wexford","15-30 Acres",3121
"2563","1900","Wexford","15-30 Acres",3031
"2564","1905","Wexford","15-30 Acres",2980
"2565","1910","Wexford","15-30 Acres",3003
"2566","1915","Wexford","15-30 Acres",2161
"2567","1930","Wexford","15-30 Acres",1824
"2568","1940","Wexford","15-30 Acres",1610
"2569","1945","Wexford","15-30 Acres",1491
"2570","1950","Wexford","15-30 Acres",1448
"2571","1955","Wexford","15-30 Acres",1384
"2572","1960","Wexford","15-30 Acres",1184
"2573","1965","Wexford","15-30 Acres",1137
"2574","1970","Wexford","15-30 Acres",1119
"2575","1975","Wexford","15-30 Acres",1043
"2576","1980","Wexford","15-30 Acres",931
"2577","1855","Wicklow","15-30 Acres",1627
"2578","1860","Wicklow","15-30 Acres",1564
"2579","1865","Wicklow","15-30 Acres",1476
"2580","1870","Wicklow","15-30 Acres",1441
"2581","1875","Wicklow","15-30 Acres",1445
"2582","1880","Wicklow","15-30 Acres",1372
"2583","1885","Wicklow","15-30 Acres",1303
"2584","1890","Wicklow","15-30 Acres",1268
"2585","1895","Wicklow","15-30 Acres",1260
"2586","1900","Wicklow","15-30 Acres",1260
"2587","1905","Wicklow","15-30 Acres",1231
"2588","1910","Wicklow","15-30 Acres",1227
"2589","1915","Wicklow","15-30 Acres",946
"2590","1930","Wicklow","15-30 Acres",857
"2591","1940","Wicklow","15-30 Acres",868
"2592","1945","Wicklow","15-30 Acres",821
"2593","1950","Wicklow","15-30 Acres",807
"2594","1955","Wicklow","15-30 Acres",807
"2595","1960","Wicklow","15-30 Acres",669
"2596","1965","Wicklow","15-30 Acres",624
"2597","1970","Wicklow","15-30 Acres",606
"2598","1975","Wicklow","15-30 Acres",595
"2599","1980","Wicklow","15-30 Acres",572
