"","Year","Statistic","Type.of.Work","Receiving.Benefits.or.Not","value"
"745","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"746","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"747","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"748","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"749","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"750","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"751","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"752","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"753","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"754","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"755","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"756","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"757","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"758","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"759","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"760","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"761","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"762","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"763","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"764","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"765","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"766","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"767","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"768","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"769","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"770","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"771","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"772","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"773","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"774","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"775","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"776","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"777","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"778","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"779","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"780","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Receiving Benefits",NA
"781","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",42.28
"782","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",60.88
"783","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",69.73
"784","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",82.66
"785","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",95.2
"786","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",121.46
"787","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",145.51
"788","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",163.72
"789","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",181.75
"790","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",226.75
"791","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",242.05
"792","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",274.91
"793","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Not Receiving Benefits",392.48
"794","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",43.9
"795","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",44
"796","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",43.5
"797","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",42.8
"798","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",42.6
"799","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",42.8
"800","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",43.21
"801","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",43.1
"802","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",43
"803","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",42.6
"804","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",42
"805","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",42.8
"806","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Not Receiving Benefits",41.7
"807","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",52.69
"808","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",71.54
"809","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",86.39
"810","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",91.89
"811","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",111.46
"812","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",142.62
"813","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",177.74
"814","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",206.41
"815","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",233.35
"816","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",298.54
"817","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",350.47
"818","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",335.73
"819","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Not Receiving Benefits",527.17
"820","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",44.9
"821","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",44.9
"822","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",44.5
"823","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",42.7
"824","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",42.8
"825","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",41.6
"826","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",43.89
"827","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",42.9
"828","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",43.4
"829","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",43.5
"830","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",42.6
"831","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",42.1
"832","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Not Receiving Benefits",43.6
"833","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",41.9
"834","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",64.17
"835","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",72.62
"836","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",87.28
"837","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",98.84
"838","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",124.65
"839","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",147.29
"840","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",162.08
"841","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",187.22
"842","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",225.53
"843","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",241.75
"844","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",280.99
"845","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Not Receiving Benefits",393.86
"846","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",43.7
"847","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",44.1
"848","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",44.4
"849","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",43.4
"850","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",43.8
"851","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",43.1
"852","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",43.3
"853","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",43.3
"854","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",43.6
"855","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",42.6
"856","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",42.8
"857","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",43.7
"858","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Not Receiving Benefits",41.2
"859","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",41.27
"860","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",55.12
"861","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",63.35
"862","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",78.52
"863","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",89.16
"864","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",111.11
"865","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",135.07
"866","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",154.18
"867","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",164.27
"868","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",202.04
"869","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",211.75
"870","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",252.74
"871","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Not Receiving Benefits",340.6
"872","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",43.7
"873","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",43
"874","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",42.7
"875","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",42.4
"876","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",41.4
"877","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",42.5
"878","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",42.66
"879","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",43
"880","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",42
"881","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",42.2
"882","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",40.8
"883","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",42.2
"884","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Not Receiving Benefits",41.5
"885","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",43.3
"886","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",52.99
"887","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",62.1
"888","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",69
"889","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",90.1
"890","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",105.6
"891","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",123.93
"892","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",151.92
"893","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",161.47
"894","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",197.42
"895","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",195.03
"896","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",237.72
"897","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Not Receiving Benefits",288.65
"898","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",42
"899","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",41.2
"900","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",40.8
"901","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",40
"902","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",40.9
"903","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",39.3
"904","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",39.95
"905","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",41
"906","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",41.4
"907","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",39.8
"908","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",38.2
"909","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",40.6
"910","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Not Receiving Benefits",38.8
"911","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",52.69
"912","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",71.54
"913","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",86.39
"914","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",91.89
"915","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",111.46
"916","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",142.62
"917","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",177.74
"918","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",206.41
"919","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",233.35
"920","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",230.98
"921","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",276.56
"922","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",398.7
"923","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Not Receiving Benefits",451.2
"924","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",44.9
"925","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",44.9
"926","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",44.5
"927","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",42.7
"928","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",42.8
"929","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",41.6
"930","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",43.89
"931","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",42.9
"932","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",43.4
"933","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",37.2
"934","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",40.7
"935","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",38.3
"936","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Not Receiving Benefits",43.1
"937","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",42.54
"938","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",55.21
"939","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",64.49
"940","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",77.34
"941","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",104.99
"942","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",107.6
"943","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",117.68
"944","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",150.74
"945","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",166.01
"946","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",213.94
"947","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",202.59
"948","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",277.59
"949","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Not Receiving Benefits",282.04
"950","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",41.9
"951","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",41.7
"952","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",41
"953","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",40.8
"954","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",41.3
"955","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",38.2
"956","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",39.85
"957","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",40.2
"958","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",41.1
"959","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",39.9
"960","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",38.9
"961","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",40.5
"962","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Not Receiving Benefits",38.2
"963","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",41.27
"964","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",55.12
"965","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",63.35
"966","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",65.68
"967","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",82.41
"968","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",103
"969","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",123.23
"970","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",148.74
"971","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",153.41
"972","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",186.03
"973","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Not Receiving Benefits",175.13
