"","Year","Type.of.Land.Use","Region","value"
"3371","1995","Area farmed (AAU)","South-East",734.5
"3372","1996","Area farmed (AAU)","South-East",725.5
"3373","1997","Area farmed (AAU)","South-East",735.8
"3374","1998","Area farmed (AAU)","South-East",730.9
"3375","1999","Area farmed (AAU)","South-East",735.6
"3376","2000","Area farmed (AAU)","South-East",700.9
"3377","2001","Area farmed (AAU)","South-East",700.6
"3378","2002","Area farmed (AAU)","South-East",692.5
"3379","2003","Area farmed (AAU)","South-East",694.8
"3380","2004","Area farmed (AAU)","South-East",689.2
"3381","2005","Area farmed (AAU)","South-East",679
"3382","2006","Area farmed (AAU)","South-East",677.4
"3383","2007","Area farmed (AAU)","South-East",672.6
"3384","1991","Crops and pasture","South-East",701.6
"3385","1992","Crops and pasture","South-East",694.3
"3386","1993","Crops and pasture","South-East",702.8
"3387","1994","Crops and pasture","South-East",700.4
"3388","1995","Crops and pasture","South-East",703.4
"3389","1996","Crops and pasture","South-East",698.3
"3390","1997","Crops and pasture","South-East",702.6
"3391","1998","Crops and pasture","South-East",698.5
"3392","1999","Crops and pasture","South-East",702
"3393","2000","Crops and pasture","South-East",670.7
"3394","2001","Crops and pasture","South-East",670.4
"3395","2002","Crops and pasture","South-East",662.6
"3396","2003","Crops and pasture","South-East",666.4
"3397","2004","Crops and pasture","South-East",662
"3398","2005","Crops and pasture","South-East",649.8
"3399","2006","Crops and pasture","South-East",646.8
"3400","2007","Crops and pasture","South-East",646.8
"3401","1991","Pasture","South-East",369.9
"3402","1992","Pasture","South-East",357.2
"3403","1993","Pasture","South-East",349.5
"3404","1994","Pasture","South-East",342.5
"3405","1995","Pasture","South-East",355.5
"3406","1996","Pasture","South-East",341.7
"3407","1997","Pasture","South-East",354.1
"3408","1998","Pasture","South-East",360.6
"3409","1999","Pasture","South-East",363.2
"3410","2000","Pasture","South-East",329.6
"3411","2001","Pasture","South-East",325.2
"3412","2002","Pasture","South-East",329.4
"3413","2003","Pasture","South-East",331
"3414","2004","Pasture","South-East",327.2
"3415","2005","Pasture","South-East",292.9
"3416","2006","Pasture","South-East",285.2
"3417","2007","Pasture","South-East",315.9
"3418","1991","Hay","South-East",61
"3419","1992","Hay","South-East",64.2
"3420","1993","Hay","South-East",69.2
"3421","1994","Hay","South-East",67.3
"3422","1995","Hay","South-East",55.9
"3423","1996","Hay","South-East",58.3
"3424","1997","Hay","South-East",54
"3425","1998","Hay","South-East",45.8
"3426","1999","Hay","South-East",45.3
"3427","2000","Hay","South-East",40
"3428","2001","Hay","South-East",41.1
"3429","2002","Hay","South-East",31.9
"3430","2003","Hay","South-East",29.3
"3431","2004","Hay","South-East",28.6
"3432","2005","Hay","South-East",38.5
"3433","2006","Hay","South-East",44.7
"3434","2007","Hay","South-East",41.1
"3435","1991","Grass silage","South-East",143.3
"3436","1992","Grass silage","South-East",148.5
"3437","1993","Grass silage","South-East",155.5
"3438","1994","Grass silage","South-East",161.8
"3439","1995","Grass silage","South-East",166
"3440","1996","Grass silage","South-East",167.8
"3441","1997","Grass silage","South-East",163.4
"3442","1998","Grass silage","South-East",160.5
"3443","1999","Grass silage","South-East",165.5
"3444","2000","Grass silage","South-East",170.9
"3445","2001","Grass silage","South-East",165.5
"3446","2002","Grass silage","South-East",162.1
"3447","2003","Grass silage","South-East",163.2
"3448","2004","Grass silage","South-East",165.9
"3449","2005","Grass silage","South-East",185.6
"3450","2006","Grass silage","South-East",191.8
"3451","2007","Grass silage","South-East",167.5
"3452","1991","Total crops, fruit and horticulture","South-East",127.4
"3453","1992","Total crops, fruit and horticulture","South-East",124.3
"3454","1993","Total crops, fruit and horticulture","South-East",128.6
"3455","1994","Total crops, fruit and horticulture","South-East",128.9
"3456","1995","Total crops, fruit and horticulture","South-East",126
"3457","1996","Total crops, fruit and horticulture","South-East",130.4
"3458","1997","Total crops, fruit and horticulture","South-East",131.2
"3459","1998","Total crops, fruit and horticulture","South-East",131.6
"3460","1999","Total crops, fruit and horticulture","South-East",128
"3461","2000","Total crops, fruit and horticulture","South-East",130.2
"3462","2001","Total crops, fruit and horticulture","South-East",138.6
"3463","2002","Total crops, fruit and horticulture","South-East",139.2
"3464","2003","Total crops, fruit and horticulture","South-East",142.9
"3465","2004","Total crops, fruit and horticulture","South-East",140.2
"3466","2005","Total crops, fruit and horticulture","South-East",132.7
"3467","2006","Total crops, fruit and horticulture","South-East",125
"3468","2007","Total crops, fruit and horticulture","South-East",122.3
"3469","1991","Beans and peas","South-East",0.4
"3470","1992","Beans and peas","South-East",0.5
"3471","1993","Beans and peas","South-East",1.2
"3472","1994","Beans and peas","South-East",1.8
"3473","1995","Beans and peas","South-East",1.1
"3474","1996","Beans and peas","South-East",0.9
"3475","1997","Beans and peas","South-East",1.1
"3476","1998","Beans and peas","South-East",1.6
"3477","1999","Beans and peas","South-East",1.7
"3478","2000","Beans and peas","South-East",0.5
"3479","2001","Beans and peas","South-East",0.6
"3480","2002","Beans and peas","South-East",0.4
"3481","2003","Beans and peas","South-East",1
"3482","2004","Beans and peas","South-East",0.8
"3483","2005","Beans and peas","South-East",1
"3484","2006","Beans and peas","South-East",1.2
"3485","2007","Beans and peas","South-East",0.7
"3486","1991","Oilseed rape","South-East",0.5
"3487","1992","Oilseed rape","South-East",0.4
"3488","1993","Oilseed rape","South-East",0.3
"3489","1994","Oilseed rape","South-East",0.5
"3490","1995","Oilseed rape","South-East",0.4
"3491","1996","Oilseed rape","South-East",0.3
"3492","1997","Oilseed rape","South-East",0.5
"3493","1998","Oilseed rape","South-East",0.6
"3494","1999","Oilseed rape","South-East",0.5
"3495","2000","Oilseed rape","South-East",0.6
"3496","2001","Oilseed rape","South-East",0.5
"3497","2002","Oilseed rape","South-East",0.4
"3498","2003","Oilseed rape","South-East",0.7
"3499","2004","Oilseed rape","South-East",0.9
"3500","2005","Oilseed rape","South-East",1.4
"3501","2006","Oilseed rape","South-East",1.9
"3502","2007","Oilseed rape","South-East",2.3
"3503","1991","Arable silage","South-East",NA
"3504","1992","Arable silage","South-East",NA
"3505","1993","Arable silage","South-East",NA
"3506","1994","Arable silage","South-East",NA
"3507","1995","Arable silage","South-East",NA
"3508","1996","Arable silage","South-East",NA
"3509","1997","Arable silage","South-East",NA
"3510","1998","Arable silage","South-East",NA
"3511","1999","Arable silage","South-East",NA
"3512","2000","Arable silage","South-East",3.5
"3513","2001","Arable silage","South-East",4.6
"3514","2002","Arable silage","South-East",2.8
"3515","2003","Arable silage","South-East",3.4
"3516","2004","Arable silage","South-East",2.9
"3517","2005","Arable silage","South-East",2.7
"3518","2006","Arable silage","South-East",2.2
"3519","2007","Arable silage","South-East",2.4
"3520","1991","Maize silage","South-East",NA
"3521","1992","Maize silage","South-East",NA
"3522","1993","Maize silage","South-East",NA
"3523","1994","Maize silage","South-East",NA
"3524","1995","Maize silage","South-East",NA
"3525","1996","Maize silage","South-East",NA
"3526","1997","Maize silage","South-East",NA
"3527","1998","Maize silage","South-East",NA
"3528","1999","Maize silage","South-East",NA
"3529","2000","Maize silage","South-East",4.5
"3530","2001","Maize silage","South-East",7.3
"3531","2002","Maize silage","South-East",6.9
"3532","2003","Maize silage","South-East",5.4
"3533","2004","Maize silage","South-East",4.2
"3534","2005","Maize silage","South-East",4.3
"3535","2006","Maize silage","South-East",5
"3536","2007","Maize silage","South-East",5.5
"3537","1991","Fodder rape and kale","South-East",NA
"3538","1992","Fodder rape and kale","South-East",NA
"3539","1993","Fodder rape and kale","South-East",NA
"3540","1994","Fodder rape and kale","South-East",NA
"3541","1995","Fodder rape and kale","South-East",NA
"3542","1996","Fodder rape and kale","South-East",NA
"3543","1997","Fodder rape and kale","South-East",NA
"3544","1998","Fodder rape and kale","South-East",NA
"3545","1999","Fodder rape and kale","South-East",NA
"3546","2000","Fodder rape and kale","South-East",0.2
"3547","2001","Fodder rape and kale","South-East",0.2
"3548","2002","Fodder rape and kale","South-East",0.2
"3549","2003","Fodder rape and kale","South-East",0.1
"3550","2004","Fodder rape and kale","South-East",0.1
"3551","2005","Fodder rape and kale","South-East",0.2
"3552","2006","Fodder rape and kale","South-East",0.4
"3553","2007","Fodder rape and kale","South-East",0.2
"3554","1991","Potatoes","South-East",3
"3555","1992","Potatoes","South-East",3.1
"3556","1993","Potatoes","South-East",3.1
"3557","1994","Potatoes","South-East",2.9
"3558","1995","Potatoes","South-East",3.2
"3559","1996","Potatoes","South-East",3.3
"3560","1997","Potatoes","South-East",2.5
"3561","1998","Potatoes","South-East",2.8
"3562","1999","Potatoes","South-East",2.3
"3563","2000","Potatoes","South-East",1.7
"3564","2001","Potatoes","South-East",1.9
"3565","2002","Potatoes","South-East",1.8
"3566","2003","Potatoes","South-East",1.7
"3567","2004","Potatoes","South-East",1.7
"3568","2005","Potatoes","South-East",1.6
"3569","2006","Potatoes","South-East",1.6
"3570","2007","Potatoes","South-East",1.7
"3571","1991","Turnips","South-East",1.9
"3572","1992","Turnips","South-East",1.7
"3573","1993","Turnips","South-East",1.5
"3574","1994","Turnips","South-East",1.7
"3575","1995","Turnips","South-East",1.6
"3576","1996","Turnips","South-East",1.6
"3577","1997","Turnips","South-East",1.5
"3578","1998","Turnips","South-East",1.1
"3579","1999","Turnips","South-East",1.4
"3580","2000","Turnips","South-East",0.9
"3581","2001","Turnips","South-East",0.7
"3582","2002","Turnips","South-East",0.6
"3583","2003","Turnips","South-East",0.4
"3584","2004","Turnips","South-East",0.4
"3585","2005","Turnips","South-East",0.4
"3586","2006","Turnips","South-East",0.4
"3587","2007","Turnips","South-East",0.4
"3588","1991","Beet","South-East",19.4
"3589","1992","Beet","South-East",18.3
"3590","1993","Beet","South-East",18.2
"3591","1994","Beet","South-East",19.7
"3592","1995","Beet","South-East",19.4
"3593","1996","Beet","South-East",18.2
"3594","1997","Beet","South-East",17.8
"3595","1998","Beet","South-East",17.9
"3596","1999","Beet","South-East",17.8
"3597","2000","Beet","South-East",16.3
"3598","2001","Beet","South-East",15.2
"3599","2002","Beet","South-East",15.1
"3600","2003","Beet","South-East",15.3
"3601","2004","Beet","South-East",15.2
"3602","2005","Beet","South-East",15.4
"3603","2006","Beet","South-East",4.2
"3604","2007","Beet","South-East",3.4
"3605","1991","Sugar beet","South-East",15.5
"3606","1992","Sugar beet","South-East",14.3
"3607","1993","Sugar beet","South-East",14.4
"3608","1994","Sugar beet","South-East",16
"3609","1995","Sugar beet","South-East",16
"3610","1996","Sugar beet","South-East",14.7
"3611","1997","Sugar beet","South-East",14.4
"3612","1998","Sugar beet","South-East",14.9
"3613","1999","Sugar beet","South-East",15.3
"3614","2000","Sugar beet","South-East",14.4
"3615","2001","Sugar beet","South-East",13.7
"3616","2002","Sugar beet","South-East",13.9
"3617","2003","Sugar beet","South-East",14
"3618","2004","Sugar beet","South-East",13.8
"3619","2005","Sugar beet","South-East",13.8
"3620","2006","Sugar beet","South-East",0.9
"3621","2007","Sugar beet","South-East",NA
"3622","1991","Fodder beet","South-East",3.9
"3623","1992","Fodder beet","South-East",4
"3624","1993","Fodder beet","South-East",3.8
"3625","1994","Fodder beet","South-East",3.7
"3626","1995","Fodder beet","South-East",3.4
"3627","1996","Fodder beet","South-East",3.5
"3628","1997","Fodder beet","South-East",3.4
"3629","1998","Fodder beet","South-East",3
"3630","1999","Fodder beet","South-East",2.5
"3631","2000","Fodder beet","South-East",1.9
"3632","2001","Fodder beet","South-East",1.5
"3633","2002","Fodder beet","South-East",1.2
"3634","2003","Fodder beet","South-East",1.3
"3635","2004","Fodder beet","South-East",1.4
"3636","2005","Fodder beet","South-East",1.6
"3637","2006","Fodder beet","South-East",3.3
"3638","2007","Fodder beet","South-East",NA
"3639","1991","Kale and field cabbage","South-East",0.3
"3640","1992","Kale and field cabbage","South-East",0.4
"3641","1993","Kale and field cabbage","South-East",0.3
"3642","1994","Kale and field cabbage","South-East",0.4
"3643","1995","Kale and field cabbage","South-East",0.4
"3644","1996","Kale and field cabbage","South-East",0.6
"3645","1997","Kale and field cabbage","South-East",0.5
"3646","1998","Kale and field cabbage","South-East",0.2
"3647","1999","Kale and field cabbage","South-East",0.2
"3648","2000","Kale and field cabbage","South-East",NA
"3649","2001","Kale and field cabbage","South-East",NA
"3650","2002","Kale and field cabbage","South-East",NA
"3651","2003","Kale and field cabbage","South-East",NA
"3652","2004","Kale and field cabbage","South-East",NA
"3653","2005","Kale and field cabbage","South-East",NA
"3654","2006","Kale and field cabbage","South-East",NA
"3655","2007","Kale and field cabbage","South-East",NA
"3656","1991","Vegetables for sale","South-East",0.5
"3657","1992","Vegetables for sale","South-East",0.6
"3658","1993","Vegetables for sale","South-East",0.6
"3659","1994","Vegetables for sale","South-East",0.7
"3660","1995","Vegetables for sale","South-East",0.5
"3661","1996","Vegetables for sale","South-East",0.5
"3662","1997","Vegetables for sale","South-East",0.6
"3663","1998","Vegetables for sale","South-East",0.6
"3664","1999","Vegetables for sale","South-East",0.6
"3665","2000","Vegetables for sale","South-East",0.8
"3666","2001","Vegetables for sale","South-East",0.7
"3667","2002","Vegetables for sale","South-East",0.8
"3668","2003","Vegetables for sale","South-East",0.5
"3669","2004","Vegetables for sale","South-East",0.4
"3670","2005","Vegetables for sale","South-East",0.5
"3671","2006","Vegetables for sale","South-East",0.6
"3672","2007","Vegetables for sale","South-East",0.6
"3673","1991","Fruit","South-East",0.8
"3674","1992","Fruit","South-East",0.8
"3675","1993","Fruit","South-East",0.9
"3676","1994","Fruit","South-East",0.9
"3677","1995","Fruit","South-East",0.8
"3678","1996","Fruit","South-East",0.8
"3679","1997","Fruit","South-East",0.9
"3680","1998","Fruit","South-East",0.8
"3681","1999","Fruit","South-East",0.7
"3682","2000","Fruit","South-East",0.6
"3683","2001","Fruit","South-East",0.6
"3684","2002","Fruit","South-East",0.2
"3685","2003","Fruit","South-East",0.6
"3686","2004","Fruit","South-East",0.5
"3687","2005","Fruit","South-East",0.6
"3688","2006","Fruit","South-East",0.6
"3689","2007","Fruit","South-East",0.6
"3690","1991","Nurseries, horticulture etc.","South-East",0.2
"3691","1992","Nurseries, horticulture etc.","South-East",0.4
"3692","1993","Nurseries, horticulture etc.","South-East",0.4
"3693","1994","Nurseries, horticulture etc.","South-East",0.5
"3694","1995","Nurseries, horticulture etc.","South-East",0.5
"3695","1996","Nurseries, horticulture etc.","South-East",0.4
"3696","1997","Nurseries, horticulture etc.","South-East",0.5
"3697","1998","Nurseries, horticulture etc.","South-East",0.5
"3698","1999","Nurseries, horticulture etc.","South-East",0.6
"3699","2000","Nurseries, horticulture etc.","South-East",0.1
"3700","2001","Nurseries, horticulture etc.","South-East",0.1
"3701","2002","Nurseries, horticulture etc.","South-East",0.1
"3702","2003","Nurseries, horticulture etc.","South-East",0.2
"3703","2004","Nurseries, horticulture etc.","South-East",0.2
"3704","2005","Nurseries, horticulture etc.","South-East",0.2
"3705","2006","Nurseries, horticulture etc.","South-East",0.2
"3706","2007","Nurseries, horticulture etc.","South-East",0.2
"3707","1991","Other crops","South-East",0.6
"3708","1992","Other crops","South-East",0.9
"3709","1993","Other crops","South-East",8.5
"3710","1994","Other crops","South-East",10.2
"3711","1995","Other crops","South-East",9.8
"3712","1996","Other crops","South-East",7.5
"3713","1997","Other crops","South-East",5.2
"3714","1998","Other crops","South-East",6.4
"3715","1999","Other crops","South-East",9.5
"3716","2000","Other crops","South-East",5
"3717","2001","Other crops","South-East",6.7
"3718","2002","Other crops","South-East",5.6
"3719","2003","Other crops","South-East",8.3
"3720","2004","Other crops","South-East",5.7
"3721","2005","Other crops","South-East",6.2
"3722","2006","Other crops","South-East",7
"3723","2007","Other crops","South-East",6.2
"3724","1991","Total cereals","South-East",99.7
"3725","1992","Total cereals","South-East",97.4
"3726","1993","Total cereals","South-East",93.6
"3727","1994","Total cereals","South-East",89.6
"3728","1995","Total cereals","South-East",88.3
"3729","1996","Total cereals","South-East",96.2
"3730","1997","Total cereals","South-East",100.1
"3731","1998","Total cereals","South-East",98.9
"3732","1999","Total cereals","South-East",92.7
"3733","2000","Total cereals","South-East",95.5
"3734","2001","Total cereals","South-East",99.5
"3735","2002","Total cereals","South-East",104.2
"3736","2003","Total cereals","South-East",105.3
"3737","2004","Total cereals","South-East",107.1
"3738","2005","Total cereals","South-East",98.2
"3739","2006","Total cereals","South-East",99.6
"3740","2007","Total cereals","South-East",98.2
"3741","1991","Total wheat","South-East",23.7
"3742","1992","Total wheat","South-East",24.2
"3743","1993","Total wheat","South-East",21
"3744","1994","Total wheat","South-East",19
"3745","1995","Total wheat","South-East",17.4
"3746","1996","Total wheat","South-East",22.4
"3747","1997","Total wheat","South-East",27.2
"3748","1998","Total wheat","South-East",23
"3749","1999","Total wheat","South-East",18.1
"3750","2000","Total wheat","South-East",20.4
"3751","2001","Total wheat","South-East",23.4
"3752","2002","Total wheat","South-East",30.3
"3753","2003","Total wheat","South-East",26.1
"3754","2004","Total wheat","South-East",27.2
"3755","2005","Total wheat","South-East",26.1
"3756","2006","Total wheat","South-East",23.5
"3757","2007","Total wheat","South-East",21.6
"3758","1991","Winter wheat","South-East",15.7
"3759","1992","Winter wheat","South-East",17.1
"3760","1993","Winter wheat","South-East",12.7
"3761","1994","Winter wheat","South-East",11.7
"3762","1995","Winter wheat","South-East",9.8
"3763","1996","Winter wheat","South-East",14
"3764","1997","Winter wheat","South-East",17.5
"3765","1998","Winter wheat","South-East",14.7
"3766","1999","Winter wheat","South-East",9.3
"3767","2000","Winter wheat","South-East",12.6
"3768","2001","Winter wheat","South-East",9.4
"3769","2002","Winter wheat","South-East",18.2
"3770","2003","Winter wheat","South-East",13.6
"3771","2004","Winter wheat","South-East",15
"3772","2005","Winter wheat","South-East",15
"3773","2006","Winter wheat","South-East",12.4
"3774","2007","Winter wheat","South-East",13.9
"3775","1991","Spring wheat","South-East",7.9
"3776","1992","Spring wheat","South-East",7.1
"3777","1993","Spring wheat","South-East",8.3
"3778","1994","Spring wheat","South-East",7.2
"3779","1995","Spring wheat","South-East",7.5
"3780","1996","Spring wheat","South-East",8.4
"3781","1997","Spring wheat","South-East",9.7
"3782","1998","Spring wheat","South-East",8.3
"3783","1999","Spring wheat","South-East",8.8
"3784","2000","Spring wheat","South-East",7.8
"3785","2001","Spring wheat","South-East",14.1
"3786","2002","Spring wheat","South-East",12.1
"3787","2003","Spring wheat","South-East",12.5
"3788","2004","Spring wheat","South-East",12.2
"3789","2005","Spring wheat","South-East",11.1
"3790","2006","Spring wheat","South-East",11.2
"3791","2007","Spring wheat","South-East",7.7
"3792","1991","Total oats","South-East",6.8
"3793","1992","Total oats","South-East",6.1
"3794","1993","Total oats","South-East",5.9
"3795","1994","Total oats","South-East",6.6
"3796","1995","Total oats","South-East",5.4
"3797","1996","Total oats","South-East",6
"3798","1997","Total oats","South-East",5.2
"3799","1998","Total oats","South-East",5.5
"3800","1999","Total oats","South-East",4.9
"3801","2000","Total oats","South-East",5
"3802","2001","Total oats","South-East",5.9
"3803","2002","Total oats","South-East",6.7
"3804","2003","Total oats","South-East",7.5
"3805","2004","Total oats","South-East",7.2
"3806","2005","Total oats","South-East",6.2
"3807","2006","Total oats","South-East",8.2
"3808","2007","Total oats","South-East",8.6
"3809","1991","Winter oats","South-East",4.3
"3810","1992","Winter oats","South-East",4
"3811","1993","Winter oats","South-East",3.8
"3812","1994","Winter oats","South-East",4.7
"3813","1995","Winter oats","South-East",3.1
"3814","1996","Winter oats","South-East",4
"3815","1997","Winter oats","South-East",3.1
"3816","1998","Winter oats","South-East",3.7
"3817","1999","Winter oats","South-East",2.5
"3818","2000","Winter oats","South-East",2.7
"3819","2001","Winter oats","South-East",1.5
"3820","2002","Winter oats","South-East",4.4
"3821","2003","Winter oats","South-East",3.1
"3822","2004","Winter oats","South-East",4.3
"3823","2005","Winter oats","South-East",3.2
"3824","2006","Winter oats","South-East",3.9
"3825","2007","Winter oats","South-East",5.6
"3826","1991","Spring oats","South-East",2.4
"3827","1992","Spring oats","South-East",2.1
"3828","1993","Spring oats","South-East",2.1
"3829","1994","Spring oats","South-East",1.8
"3830","1995","Spring oats","South-East",2.3
"3831","1996","Spring oats","South-East",2
"3832","1997","Spring oats","South-East",2
"3833","1998","Spring oats","South-East",1.8
"3834","1999","Spring oats","South-East",2.4
"3835","2000","Spring oats","South-East",2.3
"3836","2001","Spring oats","South-East",4.4
"3837","2002","Spring oats","South-East",2.3
"3838","2003","Spring oats","South-East",4.4
"3839","2004","Spring oats","South-East",2.8
"3840","2005","Spring oats","South-East",3
"3841","2006","Spring oats","South-East",4.3
"3842","2007","Spring oats","South-East",3
"3843","1991","Total barley","South-East",68.5
"3844","1992","Total barley","South-East",64.8
"3845","1993","Total barley","South-East",65
"3846","1994","Total barley","South-East",61.9
"3847","1995","Total barley","South-East",63.9
"3848","1996","Total barley","South-East",65.7
"3849","1997","Total barley","South-East",65.7
"3850","1998","Total barley","South-East",68.1
"3851","1999","Total barley","South-East",66.9
"3852","2000","Total barley","South-East",69.3
"3853","2001","Total barley","South-East",69.1
"3854","2002","Total barley","South-East",66.6
"3855","2003","Total barley","South-East",70.5
"3856","2004","Total barley","South-East",71.4
"3857","2005","Total barley","South-East",63.3
"3858","2006","Total barley","South-East",66.3
"3859","2007","Total barley","South-East",65.3
"3860","1991","Winter barley","South-East",8.1
"3861","1992","Winter barley","South-East",10.1
"3862","1993","Winter barley","South-East",10.4
"3863","1994","Winter barley","South-East",7.8
"3864","1995","Winter barley","South-East",9.3
"3865","1996","Winter barley","South-East",10.6
"3866","1997","Winter barley","South-East",8.5
"3867","1998","Winter barley","South-East",7.7
"3868","1999","Winter barley","South-East",5.3
"3869","2000","Winter barley","South-East",5.2
"3870","2001","Winter barley","South-East",4
"3871","2002","Winter barley","South-East",5.1
"3872","2003","Winter barley","South-East",4.3
"3873","2004","Winter barley","South-East",4.4
"3874","2005","Winter barley","South-East",3.5
"3875","2006","Winter barley","South-East",3
"3876","2007","Winter barley","South-East",3.6
"3877","1991","Spring barley","South-East",60.4
"3878","1992","Spring barley","South-East",54.7
"3879","1993","Spring barley","South-East",54.6
"3880","1994","Spring barley","South-East",54.1
"3881","1995","Spring barley","South-East",54.6
"3882","1996","Spring barley","South-East",55.1
"3883","1997","Spring barley","South-East",57.2
"3884","1998","Spring barley","South-East",60.4
"3885","1999","Spring barley","South-East",61.6
"3886","2000","Spring barley","South-East",64.1
"3887","2001","Spring barley","South-East",65.1
"3888","2002","Spring barley","South-East",61.5
"3889","2003","Spring barley","South-East",66.2
"3890","2004","Spring barley","South-East",67.1
"3891","2005","Spring barley","South-East",59.8
"3892","2006","Spring barley","South-East",63.3
"3893","2007","Spring barley","South-East",61.8
"3894","1991","Other cereals","South-East",0.8
"3895","1992","Other cereals","South-East",2.3
"3896","1993","Other cereals","South-East",1.7
"3897","1994","Other cereals","South-East",2.1
"3898","1995","Other cereals","South-East",1.7
"3899","1996","Other cereals","South-East",2.1
"3900","1997","Other cereals","South-East",2
"3901","1998","Other cereals","South-East",2.3
"3902","1999","Other cereals","South-East",2.8
"3903","2000","Other cereals","South-East",0.7
"3904","2001","Other cereals","South-East",1.1
"3905","2002","Other cereals","South-East",0.6
"3906","2003","Other cereals","South-East",1.2
"3907","2004","Other cereals","South-East",1.3
"3908","2005","Other cereals","South-East",2.5
"3909","2006","Other cereals","South-East",1.5
"3910","2007","Other cereals","South-East",2.7
"3911","1991","Rough grazing in use","South-East",42.1
"3912","1992","Rough grazing in use","South-East",38.2
"3913","1993","Rough grazing in use","South-East",30.1
"3914","1994","Rough grazing in use","South-East",30.1
"3915","1995","Rough grazing in use","South-East",31.1
"3916","1996","Rough grazing in use","South-East",27.2
"3917","1997","Rough grazing in use","South-East",33.2
"3918","1998","Rough grazing in use","South-East",32.4
"3919","1999","Rough grazing in use","South-East",33.6
"3920","2000","Rough grazing in use","South-East",30.2
"3921","2001","Rough grazing in use","South-East",30.1
"3922","2002","Rough grazing in use","South-East",29.9
"3923","2003","Rough grazing in use","South-East",28.5
"3924","2004","Rough grazing in use","South-East",27.3
"3925","2005","Rough grazing in use","South-East",29.2
"3926","2006","Rough grazing in use","South-East",30.6
"3927","2007","Rough grazing in use","South-East",25.8
"3928","1991","Area farmed (AAU)","South-West",837.4
"3929","1992","Area farmed (AAU)","South-West",850.4
"3930","1993","Area farmed (AAU)","South-West",821.7
"3931","1994","Area farmed (AAU)","South-West",820.9
"3932","1995","Area farmed (AAU)","South-West",818.1
"3933","1996","Area farmed (AAU)","South-West",813.1
"3934","1997","Area farmed (AAU)","South-West",823
"3935","1998","Area farmed (AAU)","South-West",829.9
"3936","1999","Area farmed (AAU)","South-West",825.1
"3937","2000","Area farmed (AAU)","South-West",812
"3938","2001","Area farmed (AAU)","South-West",801.7
"3939","2002","Area farmed (AAU)","South-West",797.8
"3940","2003","Area farmed (AAU)","South-West",796
"3941","2004","Area farmed (AAU)","South-West",779.4
"3942","2005","Area farmed (AAU)","South-West",782.3
"3943","2006","Area farmed (AAU)","South-West",769.8
"3944","2007","Area farmed (AAU)","South-West",777.2
"3945","1991","Crops and pasture","South-West",652.2
"3946","1992","Crops and pasture","South-West",668.4
"3947","1993","Crops and pasture","South-West",676.8
"3948","1994","Crops and pasture","South-West",690.7
"3949","1995","Crops and pasture","South-West",684.1
"3950","1996","Crops and pasture","South-West",686.9
"3951","1997","Crops and pasture","South-West",685.4
"3952","1998","Crops and pasture","South-West",692.7
"3953","1999","Crops and pasture","South-West",684.4
"3954","2000","Crops and pasture","South-West",671.8
"3955","2001","Crops and pasture","South-West",676.4
"3956","2002","Crops and pasture","South-West",665.1
"3957","2003","Crops and pasture","South-West",666.5
"3958","2004","Crops and pasture","South-West",646.6
"3959","2005","Crops and pasture","South-West",652.2
"3960","2006","Crops and pasture","South-West",640.9
"3961","2007","Crops and pasture","South-West",653.1
"3962","1991","Pasture","South-West",363.6
"3963","1992","Pasture","South-West",357.7
"3964","1993","Pasture","South-West",355.6
"3965","1994","Pasture","South-West",360.7
"3966","1995","Pasture","South-West",360.2
"3967","1996","Pasture","South-West",353.8
"3968","1997","Pasture","South-West",365.5
"3969","1998","Pasture","South-West",372.8
"3970","1999","Pasture","South-West",371.2
"3971","2000","Pasture","South-West",359.6
"3972","2001","Pasture","South-West",361.2
"3973","2002","Pasture","South-West",372.9
"3974","2003","Pasture","South-West",377.8
"3975","2004","Pasture","South-West",358.7
"3976","2005","Pasture","South-West",329.5
"3977","2006","Pasture","South-West",318.2
"3978","2007","Pasture","South-West",354.3
"3979","1991","Hay","South-West",42.6
"3980","1992","Hay","South-West",53.3
"3981","1993","Hay","South-West",54.4
"3982","1994","Hay","South-West",54.7
"3983","1995","Hay","South-West",47.4
"3984","1996","Hay","South-West",48
"3985","1997","Hay","South-West",46.2
"3986","1998","Hay","South-West",39.6
"3987","1999","Hay","South-West",36.4
"3988","2000","Hay","South-West",29.2
"3989","2001","Hay","South-West",32.9
"3990","2002","Hay","South-West",25.3
"3991","2003","Hay","South-West",26.6
"3992","2004","Hay","South-West",25
"3993","2005","Hay","South-West",36.8
"3994","2006","Hay","South-West",39.4
"3995","2007","Hay","South-West",38.5
"3996","1991","Grass silage","South-West",175.1
"3997","1992","Grass silage","South-West",187.5
"3998","1993","Grass silage","South-West",193.8
"3999","1994","Grass silage","South-West",203.7
"4000","1995","Grass silage","South-West",206.8
"4001","1996","Grass silage","South-West",214.5
"4002","1997","Grass silage","South-West",199.2
"4003","1998","Grass silage","South-West",207.8
"4004","1999","Grass silage","South-West",206.1
"4005","2000","Grass silage","South-West",211.2
"4006","2001","Grass silage","South-West",210.4
"4007","2002","Grass silage","South-West",192.5
"4008","2003","Grass silage","South-West",185.6
"4009","2004","Grass silage","South-West",186.8
"4010","2005","Grass silage","South-West",216.3
"4011","2006","Grass silage","South-West",217.9
