"","Year","Farm.Land.Utilisation","Rural.District","value"
"32369","1926","Potatoes","Waterford No.1",429
"32370","1933","Potatoes","Waterford No.1",397
"32371","1955","Potatoes","Waterford No.1",312
"32372","1960","Potatoes","Waterford No.1",284
"32373","1965","Potatoes","Waterford No.1",229
"32374","1970","Potatoes","Waterford No.1",163
"32375","1975","Potatoes","Waterford No.1",104
"32376","1980","Potatoes","Waterford No.1",95
"32377","1926","Turnips","Waterford No.1",429
"32378","1933","Turnips","Waterford No.1",438
"32379","1955","Turnips","Waterford No.1",383
"32380","1960","Turnips","Waterford No.1",308
"32381","1965","Turnips","Waterford No.1",300
"32382","1970","Turnips","Waterford No.1",139
"32383","1975","Turnips","Waterford No.1",59
"32384","1980","Turnips","Waterford No.1",27
"32385","1926","Sugar beet","Waterford No.1",44
"32386","1933","Sugar beet","Waterford No.1",9
"32387","1955","Sugar beet","Waterford No.1",26
"32388","1960","Sugar beet","Waterford No.1",76
"32389","1965","Sugar beet","Waterford No.1",175
"32390","1970","Sugar beet","Waterford No.1",45
"32391","1975","Sugar beet","Waterford No.1",130
"32392","1980","Sugar beet","Waterford No.1",40
"32393","1926","Other root and green crops","Waterford No.1",408
"32394","1933","Other root and green crops","Waterford No.1",432
"32395","1955","Other root and green crops","Waterford No.1",462
"32396","1960","Other root and green crops","Waterford No.1",514
"32397","1965","Other root and green crops","Waterford No.1",391
"32398","1970","Other root and green crops","Waterford No.1",138
"32399","1975","Other root and green crops","Waterford No.1",132
"32400","1980","Other root and green crops","Waterford No.1",152
"32401","1926","Fruit and horticulture","Waterford No.1",23
"32402","1933","Fruit and horticulture","Waterford No.1",23
"32403","1955","Fruit and horticulture","Waterford No.1",22
"32404","1960","Fruit and horticulture","Waterford No.1",51
"32405","1965","Fruit and horticulture","Waterford No.1",62
"32406","1970","Fruit and horticulture","Waterford No.1",53
"32407","1975","Fruit and horticulture","Waterford No.1",22
"32408","1980","Fruit and horticulture","Waterford No.1",27
"32409","1926","Apples","Waterford No.1",NA
"32410","1933","Apples","Waterford No.1",NA
"32411","1955","Apples","Waterford No.1",NA
"32412","1960","Apples","Waterford No.1",NA
"32413","1965","Apples","Waterford No.1",16
"32414","1970","Apples","Waterford No.1",20
"32415","1975","Apples","Waterford No.1",16
"32416","1980","Apples","Waterford No.1",2
"32417","1926","Fruit excluding apples","Waterford No.1",NA
"32418","1933","Fruit excluding apples","Waterford No.1",NA
"32419","1955","Fruit excluding apples","Waterford No.1",NA
"32420","1960","Fruit excluding apples","Waterford No.1",NA
"32421","1965","Fruit excluding apples","Waterford No.1",8
"32422","1970","Fruit excluding apples","Waterford No.1",16
"32423","1975","Fruit excluding apples","Waterford No.1",1
"32424","1980","Fruit excluding apples","Waterford No.1",16
"32425","1926","Horticultural bulbs, flowers and bushes","Waterford No.1",NA
"32426","1933","Horticultural bulbs, flowers and bushes","Waterford No.1",NA
"32427","1955","Horticultural bulbs, flowers and bushes","Waterford No.1",NA
"32428","1960","Horticultural bulbs, flowers and bushes","Waterford No.1",19
"32429","1965","Horticultural bulbs, flowers and bushes","Waterford No.1",38
"32430","1970","Horticultural bulbs, flowers and bushes","Waterford No.1",17
"32431","1975","Horticultural bulbs, flowers and bushes","Waterford No.1",4
"32432","1980","Horticultural bulbs, flowers and bushes","Waterford No.1",9
"32433","1926","Hay","Waterford No.1",2215
"32434","1933","Hay","Waterford No.1",2100
"32435","1955","Hay","Waterford No.1",2185
"32436","1960","Hay","Waterford No.1",2597
"32437","1965","Hay","Waterford No.1",2724
"32438","1970","Hay","Waterford No.1",4180
"32439","1975","Hay","Waterford No.1",4620
"32440","1980","Hay","Waterford No.1",5985
"32441","1926","Rye grass for seed","Waterford No.1",NA
"32442","1933","Rye grass for seed","Waterford No.1",NA
"32443","1955","Rye grass for seed","Waterford No.1",NA
"32444","1960","Rye grass for seed","Waterford No.1",24
"32445","1965","Rye grass for seed","Waterford No.1",14
"32446","1970","Rye grass for seed","Waterford No.1",0
"32447","1975","Rye grass for seed","Waterford No.1",0
"32448","1980","Rye grass for seed","Waterford No.1",12
"32449","1926","First to fourth years hay","Waterford No.1",NA
"32450","1933","First to fourth years hay","Waterford No.1",NA
"32451","1955","First to fourth years hay","Waterford No.1",NA
"32452","1960","First to fourth years hay","Waterford No.1",NA
"32453","1965","First to fourth years hay","Waterford No.1",NA
"32454","1970","First to fourth years hay","Waterford No.1",NA
"32455","1975","First to fourth years hay","Waterford No.1",2249
"32456","1980","First to fourth years hay","Waterford No.1",3124
"32457","1926","Permanent meadow","Waterford No.1",NA
"32458","1933","Permanent meadow","Waterford No.1",NA
"32459","1955","Permanent meadow","Waterford No.1",NA
"32460","1960","Permanent meadow","Waterford No.1",NA
"32461","1965","Permanent meadow","Waterford No.1",NA
"32462","1970","Permanent meadow","Waterford No.1",NA
"32463","1975","Permanent meadow","Waterford No.1",2371
"32464","1980","Permanent meadow","Waterford No.1",2849
"32465","1926","Pasture","Waterford No.1",17794
"32466","1933","Pasture","Waterford No.1",18394
"32467","1955","Pasture","Waterford No.1",15354
"32468","1960","Pasture","Waterford No.1",14011
"32469","1965","Pasture","Waterford No.1",16277
"32470","1970","Pasture","Waterford No.1",14760
"32471","1975","Pasture","Waterford No.1",14299
"32472","1980","Pasture","Waterford No.1",11574
"32473","1926","Rough grazing in use","Waterford No.1",NA
"32474","1933","Rough grazing in use","Waterford No.1",NA
"32475","1955","Rough grazing in use","Waterford No.1",NA
"32476","1960","Rough grazing in use","Waterford No.1",NA
"32477","1965","Rough grazing in use","Waterford No.1",NA
"32478","1970","Rough grazing in use","Waterford No.1",NA
"32479","1975","Rough grazing in use","Waterford No.1",2962
"32480","1980","Rough grazing in use","Waterford No.1",2884
"32481","1926","Other land","Waterford No.1",NA
"32482","1933","Other land","Waterford No.1",NA
"32483","1955","Other land","Waterford No.1",NA
"32484","1960","Other land","Waterford No.1",NA
"32485","1965","Other land","Waterford No.1",NA
"32486","1970","Other land","Waterford No.1",NA
"32487","1975","Other land","Waterford No.1",2920
"32488","1980","Other land","Waterford No.1",3418
"32489","1926","Total Area","Youghal No.2",13821
"32490","1933","Total Area","Youghal No.2",13821
"32491","1955","Total Area","Youghal No.2",13821
"32492","1960","Total Area","Youghal No.2",13475
"32493","1965","Total Area","Youghal No.2",13821
"32494","1970","Total Area","Youghal No.2",13821
"32495","1975","Total Area","Youghal No.2",13821
"32496","1980","Total Area","Youghal No.2",13821
"32497","1926","Crops, hay, pasture and rough grazing","Youghal No.2",NA
"32498","1933","Crops, hay, pasture and rough grazing","Youghal No.2",NA
"32499","1955","Crops, hay, pasture and rough grazing","Youghal No.2",NA
"32500","1960","Crops, hay, pasture and rough grazing","Youghal No.2",NA
"32501","1965","Crops, hay, pasture and rough grazing","Youghal No.2",NA
"32502","1970","Crops, hay, pasture and rough grazing","Youghal No.2",NA
"32503","1975","Crops, hay, pasture and rough grazing","Youghal No.2",11808
"32504","1980","Crops, hay, pasture and rough grazing","Youghal No.2",12329
"32505","1926","Crops, hay and pasture","Youghal No.2",11812
"32506","1933","Crops, hay and pasture","Youghal No.2",10812
"32507","1955","Crops, hay and pasture","Youghal No.2",11918
"32508","1960","Crops, hay and pasture","Youghal No.2",11137
"32509","1965","Crops, hay and pasture","Youghal No.2",11472
"32510","1970","Crops, hay and pasture","Youghal No.2",11714
"32511","1975","Crops, hay and pasture","Youghal No.2",11449
"32512","1980","Crops, hay and pasture","Youghal No.2",11784
"32513","1926","Crops including fruit and horticultural","Youghal No.2",1905
"32514","1933","Crops including fruit and horticultural","Youghal No.2",1636
"32515","1955","Crops including fruit and horticultural","Youghal No.2",2207
"32516","1960","Crops including fruit and horticultural","Youghal No.2",2245
"32517","1965","Crops including fruit and horticultural","Youghal No.2",2227
"32518","1970","Crops including fruit and horticultural","Youghal No.2",2254
"32519","1975","Crops including fruit and horticultural","Youghal No.2",2042
"32520","1980","Crops including fruit and horticultural","Youghal No.2",2593
"32521","1926","Corn crops","Youghal No.2",1139
"32522","1933","Corn crops","Youghal No.2",969
"32523","1955","Corn crops","Youghal No.2",1548
"32524","1960","Corn crops","Youghal No.2",1656
"32525","1965","Corn crops","Youghal No.2",1599
"32526","1970","Corn crops","Youghal No.2",1720
"32527","1975","Corn crops","Youghal No.2",1560
"32528","1980","Corn crops","Youghal No.2",2055
"32529","1926","Wheat","Youghal No.2",2
"32530","1933","Wheat","Youghal No.2",20
"32531","1955","Wheat","Youghal No.2",342
"32532","1960","Wheat","Youghal No.2",420
"32533","1965","Wheat","Youghal No.2",152
"32534","1970","Wheat","Youghal No.2",202
"32535","1975","Wheat","Youghal No.2",87
"32536","1980","Wheat","Youghal No.2",130
"32537","1926","Spring wheat","Youghal No.2",NA
"32538","1933","Spring wheat","Youghal No.2",NA
"32539","1955","Spring wheat","Youghal No.2",NA
"32540","1960","Spring wheat","Youghal No.2",NA
"32541","1965","Spring wheat","Youghal No.2",NA
"32542","1970","Spring wheat","Youghal No.2",NA
"32543","1975","Spring wheat","Youghal No.2",NA
"32544","1980","Spring wheat","Youghal No.2",53
"32545","1926","Winter wheat","Youghal No.2",NA
"32546","1933","Winter wheat","Youghal No.2",NA
"32547","1955","Winter wheat","Youghal No.2",NA
"32548","1960","Winter wheat","Youghal No.2",NA
"32549","1965","Winter wheat","Youghal No.2",NA
"32550","1970","Winter wheat","Youghal No.2",NA
"32551","1975","Winter wheat","Youghal No.2",NA
"32552","1980","Winter wheat","Youghal No.2",77
"32553","1926","Oats","Youghal No.2",841
"32554","1933","Oats","Youghal No.2",686
"32555","1955","Oats","Youghal No.2",677
"32556","1960","Oats","Youghal No.2",595
"32557","1965","Oats","Youghal No.2",533
"32558","1970","Oats","Youghal No.2",397
"32559","1975","Oats","Youghal No.2",212
"32560","1980","Oats","Youghal No.2",125
"32561","1926","Barley","Youghal No.2",295
"32562","1933","Barley","Youghal No.2",261
"32563","1955","Barley","Youghal No.2",528
"32564","1960","Barley","Youghal No.2",633
"32565","1965","Barley","Youghal No.2",914
"32566","1970","Barley","Youghal No.2",1121
"32567","1975","Barley","Youghal No.2",1259
"32568","1980","Barley","Youghal No.2",1798
"32569","1926","Malting barley","Youghal No.2",NA
"32570","1933","Malting barley","Youghal No.2",NA
"32571","1955","Malting barley","Youghal No.2",NA
"32572","1960","Malting barley","Youghal No.2",219
"32573","1965","Malting barley","Youghal No.2",237
"32574","1970","Malting barley","Youghal No.2",123
"32575","1975","Malting barley","Youghal No.2",92
"32576","1980","Malting barley","Youghal No.2",94
"32577","1926","Other barley","Youghal No.2",NA
"32578","1933","Other barley","Youghal No.2",NA
"32579","1955","Other barley","Youghal No.2",NA
"32580","1960","Other barley","Youghal No.2",414
"32581","1965","Other barley","Youghal No.2",677
"32582","1970","Other barley","Youghal No.2",998
"32583","1975","Other barley","Youghal No.2",1167
"32584","1980","Other barley","Youghal No.2",1704
"32585","1926","Spring barley","Youghal No.2",NA
"32586","1933","Spring barley","Youghal No.2",NA
"32587","1955","Spring barley","Youghal No.2",NA
"32588","1960","Spring barley","Youghal No.2",NA
"32589","1965","Spring barley","Youghal No.2",NA
"32590","1970","Spring barley","Youghal No.2",NA
"32591","1975","Spring barley","Youghal No.2",NA
"32592","1980","Spring barley","Youghal No.2",1694
"32593","1926","Winter barley","Youghal No.2",NA
"32594","1933","Winter barley","Youghal No.2",NA
"32595","1955","Winter barley","Youghal No.2",NA
"32596","1960","Winter barley","Youghal No.2",NA
"32597","1965","Winter barley","Youghal No.2",NA
"32598","1970","Winter barley","Youghal No.2",NA
"32599","1975","Winter barley","Youghal No.2",NA
"32600","1980","Winter barley","Youghal No.2",10
"32601","1926","Other corn crops","Youghal No.2",1
"32602","1933","Other corn crops","Youghal No.2",1
"32603","1955","Other corn crops","Youghal No.2",2
"32604","1960","Other corn crops","Youghal No.2",8
"32605","1965","Other corn crops","Youghal No.2",0
"32606","1970","Other corn crops","Youghal No.2",0
"32607","1975","Other corn crops","Youghal No.2",2
"32608","1980","Other corn crops","Youghal No.2",2
"32609","1926","Root and green crops","Youghal No.2",762
"32610","1933","Root and green crops","Youghal No.2",658
"32611","1955","Root and green crops","Youghal No.2",643
"32612","1960","Root and green crops","Youghal No.2",579
"32613","1965","Root and green crops","Youghal No.2",620
"32614","1970","Root and green crops","Youghal No.2",526
"32615","1975","Root and green crops","Youghal No.2",482
"32616","1980","Root and green crops","Youghal No.2",535
"32617","1926","Potatoes","Youghal No.2",294
"32618","1933","Potatoes","Youghal No.2",232
"32619","1955","Potatoes","Youghal No.2",146
"32620","1960","Potatoes","Youghal No.2",113
"32621","1965","Potatoes","Youghal No.2",85
"32622","1970","Potatoes","Youghal No.2",68
"32623","1975","Potatoes","Youghal No.2",42
"32624","1980","Potatoes","Youghal No.2",38
"32625","1926","Turnips","Youghal No.2",261
"32626","1933","Turnips","Youghal No.2",221
"32627","1955","Turnips","Youghal No.2",169
"32628","1960","Turnips","Youghal No.2",110
"32629","1965","Turnips","Youghal No.2",138
"32630","1970","Turnips","Youghal No.2",128
"32631","1975","Turnips","Youghal No.2",72
"32632","1980","Turnips","Youghal No.2",37
"32633","1926","Sugar beet","Youghal No.2",0
"32634","1933","Sugar beet","Youghal No.2",0
"32635","1955","Sugar beet","Youghal No.2",130
"32636","1960","Sugar beet","Youghal No.2",141
"32637","1965","Sugar beet","Youghal No.2",235
"32638","1970","Sugar beet","Youghal No.2",189
"32639","1975","Sugar beet","Youghal No.2",252
"32640","1980","Sugar beet","Youghal No.2",353
"32641","1926","Other root and green crops","Youghal No.2",207
"32642","1933","Other root and green crops","Youghal No.2",205
"32643","1955","Other root and green crops","Youghal No.2",197
"32644","1960","Other root and green crops","Youghal No.2",215
"32645","1965","Other root and green crops","Youghal No.2",162
"32646","1970","Other root and green crops","Youghal No.2",142
"32647","1975","Other root and green crops","Youghal No.2",115
"32648","1980","Other root and green crops","Youghal No.2",107
"32649","1926","Fruit and horticulture","Youghal No.2",4
"32650","1933","Fruit and horticulture","Youghal No.2",9
"32651","1955","Fruit and horticulture","Youghal No.2",15
"32652","1960","Fruit and horticulture","Youghal No.2",10
"32653","1965","Fruit and horticulture","Youghal No.2",8
"32654","1970","Fruit and horticulture","Youghal No.2",7
"32655","1975","Fruit and horticulture","Youghal No.2",0
"32656","1980","Fruit and horticulture","Youghal No.2",3
"32657","1926","Apples","Youghal No.2",NA
"32658","1933","Apples","Youghal No.2",NA
"32659","1955","Apples","Youghal No.2",NA
"32660","1960","Apples","Youghal No.2",NA
"32661","1965","Apples","Youghal No.2",7
"32662","1970","Apples","Youghal No.2",7
"32663","1975","Apples","Youghal No.2",0
"32664","1980","Apples","Youghal No.2",1
"32665","1926","Fruit excluding apples","Youghal No.2",NA
"32666","1933","Fruit excluding apples","Youghal No.2",NA
"32667","1955","Fruit excluding apples","Youghal No.2",NA
"32668","1960","Fruit excluding apples","Youghal No.2",NA
"32669","1965","Fruit excluding apples","Youghal No.2",0
"32670","1970","Fruit excluding apples","Youghal No.2",0
"32671","1975","Fruit excluding apples","Youghal No.2",0
"32672","1980","Fruit excluding apples","Youghal No.2",1
"32673","1926","Horticultural bulbs, flowers and bushes","Youghal No.2",NA
"32674","1933","Horticultural bulbs, flowers and bushes","Youghal No.2",NA
"32675","1955","Horticultural bulbs, flowers and bushes","Youghal No.2",NA
"32676","1960","Horticultural bulbs, flowers and bushes","Youghal No.2",0
"32677","1965","Horticultural bulbs, flowers and bushes","Youghal No.2",2
"32678","1970","Horticultural bulbs, flowers and bushes","Youghal No.2",0
"32679","1975","Horticultural bulbs, flowers and bushes","Youghal No.2",0
"32680","1980","Horticultural bulbs, flowers and bushes","Youghal No.2",1
"32681","1926","Hay","Youghal No.2",923
"32682","1933","Hay","Youghal No.2",1085
"32683","1955","Hay","Youghal No.2",1272
"32684","1960","Hay","Youghal No.2",1193
"32685","1965","Hay","Youghal No.2",1320
"32686","1970","Hay","Youghal No.2",2125
"32687","1975","Hay","Youghal No.2",2433
"32688","1980","Hay","Youghal No.2",3357
"32689","1926","Rye grass for seed","Youghal No.2",NA
"32690","1933","Rye grass for seed","Youghal No.2",NA
"32691","1955","Rye grass for seed","Youghal No.2",NA
"32692","1960","Rye grass for seed","Youghal No.2",4
"32693","1965","Rye grass for seed","Youghal No.2",0
"32694","1970","Rye grass for seed","Youghal No.2",0
"32695","1975","Rye grass for seed","Youghal No.2",0
"32696","1980","Rye grass for seed","Youghal No.2",0
"32697","1926","First to fourth years hay","Youghal No.2",NA
"32698","1933","First to fourth years hay","Youghal No.2",NA
"32699","1955","First to fourth years hay","Youghal No.2",NA
"32700","1960","First to fourth years hay","Youghal No.2",NA
"32701","1965","First to fourth years hay","Youghal No.2",NA
"32702","1970","First to fourth years hay","Youghal No.2",NA
"32703","1975","First to fourth years hay","Youghal No.2",813
"32704","1980","First to fourth years hay","Youghal No.2",1635
"32705","1926","Permanent meadow","Youghal No.2",NA
"32706","1933","Permanent meadow","Youghal No.2",NA
"32707","1955","Permanent meadow","Youghal No.2",NA
"32708","1960","Permanent meadow","Youghal No.2",NA
"32709","1965","Permanent meadow","Youghal No.2",NA
"32710","1970","Permanent meadow","Youghal No.2",NA
"32711","1975","Permanent meadow","Youghal No.2",1620
"32712","1980","Permanent meadow","Youghal No.2",1722
"32713","1926","Pasture","Youghal No.2",8983
"32714","1933","Pasture","Youghal No.2",8090
"32715","1955","Pasture","Youghal No.2",8439
"32716","1960","Pasture","Youghal No.2",7698
"32717","1965","Pasture","Youghal No.2",7925
"32718","1970","Pasture","Youghal No.2",7334
"32719","1975","Pasture","Youghal No.2",6974
"32720","1980","Pasture","Youghal No.2",5834
"32721","1926","Rough grazing in use","Youghal No.2",NA
"32722","1933","Rough grazing in use","Youghal No.2",NA
"32723","1955","Rough grazing in use","Youghal No.2",NA
"32724","1960","Rough grazing in use","Youghal No.2",NA
"32725","1965","Rough grazing in use","Youghal No.2",NA
"32726","1970","Rough grazing in use","Youghal No.2",NA
"32727","1975","Rough grazing in use","Youghal No.2",359
"32728","1980","Rough grazing in use","Youghal No.2",545
"32729","1926","Other land","Youghal No.2",NA
"32730","1933","Other land","Youghal No.2",NA
"32731","1955","Other land","Youghal No.2",NA
"32732","1960","Other land","Youghal No.2",NA
"32733","1965","Other land","Youghal No.2",NA
"32734","1970","Other land","Youghal No.2",NA
"32735","1975","Other land","Youghal No.2",2013
"32736","1980","Other land","Youghal No.2",1492
"32737","1926","Total Area","Connacht",1712153
"32738","1933","Total Area","Connacht",1712153
"32739","1955","Total Area","Connacht",1712155
"32740","1960","Total Area","Connacht",1712112
"32741","1965","Total Area","Connacht",1712112
"32742","1970","Total Area","Connacht",1712112
"32743","1975","Total Area","Connacht",1712112
"32744","1980","Total Area","Connacht",1712111
"32745","1926","Crops, hay, pasture and rough grazing","Connacht",NA
"32746","1933","Crops, hay, pasture and rough grazing","Connacht",NA
"32747","1955","Crops, hay, pasture and rough grazing","Connacht",NA
"32748","1960","Crops, hay, pasture and rough grazing","Connacht",NA
"32749","1965","Crops, hay, pasture and rough grazing","Connacht",NA
"32750","1970","Crops, hay, pasture and rough grazing","Connacht",NA
"32751","1975","Crops, hay, pasture and rough grazing","Connacht",1329576
"32752","1980","Crops, hay, pasture and rough grazing","Connacht",1323520
"32753","1926","Crops, hay and pasture","Connacht",1036166
"32754","1933","Crops, hay and pasture","Connacht",991431
"32755","1955","Crops, hay and pasture","Connacht",984796
"32756","1960","Crops, hay and pasture","Connacht",946530
"32757","1965","Crops, hay and pasture","Connacht",989297
"32758","1970","Crops, hay and pasture","Connacht",1016501
"32759","1975","Crops, hay and pasture","Connacht",988558
"32760","1980","Crops, hay and pasture","Connacht",982851
"32761","1926","Crops including fruit and horticultural","Connacht",111112
"32762","1933","Crops including fruit and horticultural","Connacht",100102
"32763","1955","Crops including fruit and horticultural","Connacht",99449
"32764","1960","Crops including fruit and horticultural","Connacht",83540
"32765","1965","Crops including fruit and horticultural","Connacht",66338
"32766","1970","Crops including fruit and horticultural","Connacht",51909
"32767","1975","Crops including fruit and horticultural","Connacht",37285
"32768","1980","Crops including fruit and horticultural","Connacht",33072
"32769","1926","Corn crops","Connacht",52092
"32770","1933","Corn crops","Connacht",48832
"32771","1955","Corn crops","Connacht",54735
"32772","1960","Corn crops","Connacht",46696
"32773","1965","Corn crops","Connacht",37181
"32774","1970","Corn crops","Connacht",28277
"32775","1975","Corn crops","Connacht",21392
"32776","1980","Corn crops","Connacht",19449
"32777","1926","Wheat","Connacht",1972
"32778","1933","Wheat","Connacht",3013
"32779","1955","Wheat","Connacht",5464
"32780","1960","Wheat","Connacht",4879
"32781","1965","Wheat","Connacht",1897
"32782","1970","Wheat","Connacht",1112
"32783","1975","Wheat","Connacht",394
"32784","1980","Wheat","Connacht",432
"32785","1926","Spring wheat","Connacht",NA
"32786","1933","Spring wheat","Connacht",NA
"32787","1955","Spring wheat","Connacht",NA
"32788","1960","Spring wheat","Connacht",NA
"32789","1965","Spring wheat","Connacht",NA
"32790","1970","Spring wheat","Connacht",NA
"32791","1975","Spring wheat","Connacht",NA
"32792","1980","Spring wheat","Connacht",296
"32793","1926","Winter wheat","Connacht",NA
"32794","1933","Winter wheat","Connacht",NA
"32795","1955","Winter wheat","Connacht",NA
"32796","1960","Winter wheat","Connacht",NA
"32797","1965","Winter wheat","Connacht",NA
"32798","1970","Winter wheat","Connacht",NA
"32799","1975","Winter wheat","Connacht",NA
"32800","1980","Winter wheat","Connacht",136
"32801","1926","Oats","Connacht",47391
"32802","1933","Oats","Connacht",44185
"32803","1955","Oats","Connacht",44562
"32804","1960","Oats","Connacht",34102
"32805","1965","Oats","Connacht",26564
"32806","1970","Oats","Connacht",18203
"32807","1975","Oats","Connacht",12330
"32808","1980","Oats","Connacht",6873
"32809","1926","Barley","Connacht",1126
"32810","1933","Barley","Connacht",886
"32811","1955","Barley","Connacht",4031
"32812","1960","Barley","Connacht",7265
"32813","1965","Barley","Connacht",8435
"32814","1970","Barley","Connacht",8892
"32815","1975","Barley","Connacht",8599
"32816","1980","Barley","Connacht",12073
"32817","1926","Malting barley","Connacht",NA
"32818","1933","Malting barley","Connacht",NA
"32819","1955","Malting barley","Connacht",NA
"32820","1960","Malting barley","Connacht",1270
"32821","1965","Malting barley","Connacht",1258
"32822","1970","Malting barley","Connacht",1018
"32823","1975","Malting barley","Connacht",1005
"32824","1980","Malting barley","Connacht",937
"32825","1926","Other barley","Connacht",NA
"32826","1933","Other barley","Connacht",NA
"32827","1955","Other barley","Connacht",NA
"32828","1960","Other barley","Connacht",5995
"32829","1965","Other barley","Connacht",7178
"32830","1970","Other barley","Connacht",7874
"32831","1975","Other barley","Connacht",7594
"32832","1980","Other barley","Connacht",11136
"32833","1926","Spring barley","Connacht",NA
"32834","1933","Spring barley","Connacht",NA
"32835","1955","Spring barley","Connacht",NA
"32836","1960","Spring barley","Connacht",NA
"32837","1965","Spring barley","Connacht",NA
"32838","1970","Spring barley","Connacht",NA
"32839","1975","Spring barley","Connacht",NA
"32840","1980","Spring barley","Connacht",10485
"32841","1926","Winter barley","Connacht",NA
"32842","1933","Winter barley","Connacht",NA
"32843","1955","Winter barley","Connacht",NA
"32844","1960","Winter barley","Connacht",NA
"32845","1965","Winter barley","Connacht",NA
"32846","1970","Winter barley","Connacht",NA
"32847","1975","Winter barley","Connacht",NA
"32848","1980","Winter barley","Connacht",651
"32849","1926","Other corn crops","Connacht",1603
"32850","1933","Other corn crops","Connacht",747
"32851","1955","Other corn crops","Connacht",678
"32852","1960","Other corn crops","Connacht",450
"32853","1965","Other corn crops","Connacht",285
"32854","1970","Other corn crops","Connacht",70
"32855","1975","Other corn crops","Connacht",70
"32856","1980","Other corn crops","Connacht",71
"32857","1926","Root and green crops","Connacht",58761
"32858","1933","Root and green crops","Connacht",51048
"32859","1955","Root and green crops","Connacht",44373
"32860","1960","Root and green crops","Connacht",36561
"32861","1965","Root and green crops","Connacht",28874
"32862","1970","Root and green crops","Connacht",23453
"32863","1975","Root and green crops","Connacht",15758
"32864","1980","Root and green crops","Connacht",13529
"32865","1926","Potatoes","Connacht",41337
"32866","1933","Potatoes","Connacht",37746
"32867","1955","Potatoes","Connacht",32127
"32868","1960","Potatoes","Connacht",24303
"32869","1965","Potatoes","Connacht",18295
"32870","1970","Potatoes","Connacht",14065
"32871","1975","Potatoes","Connacht",9670
"32872","1980","Potatoes","Connacht",8602
"32873","1926","Turnips","Connacht",8997
"32874","1933","Turnips","Connacht",7204
"32875","1955","Turnips","Connacht",4780
"32876","1960","Turnips","Connacht",3350
"32877","1965","Turnips","Connacht",3887
"32878","1970","Turnips","Connacht",3862
"32879","1975","Turnips","Connacht",2339
"32880","1980","Turnips","Connacht",1805
"32881","1926","Sugar beet","Connacht",4
"32882","1933","Sugar beet","Connacht",3
"32883","1955","Sugar beet","Connacht",2002
"32884","1960","Sugar beet","Connacht",3148
"32885","1965","Sugar beet","Connacht",1714
"32886","1970","Sugar beet","Connacht",1854
"32887","1975","Sugar beet","Connacht",1287
"32888","1980","Sugar beet","Connacht",1083
"32889","1926","Other root and green crops","Connacht",8423
"32890","1933","Other root and green crops","Connacht",6095
"32891","1955","Other root and green crops","Connacht",5464
"32892","1960","Other root and green crops","Connacht",5759
"32893","1965","Other root and green crops","Connacht",4977
"32894","1970","Other root and green crops","Connacht",3672
"32895","1975","Other root and green crops","Connacht",2462
"32896","1980","Other root and green crops","Connacht",2039
"32897","1926","Fruit and horticulture","Connacht",259
"32898","1933","Fruit and horticulture","Connacht",222
"32899","1955","Fruit and horticulture","Connacht",341
"32900","1960","Fruit and horticulture","Connacht",283
"32901","1965","Fruit and horticulture","Connacht",284
"32902","1970","Fruit and horticulture","Connacht",179
"32903","1975","Fruit and horticulture","Connacht",134
"32904","1980","Fruit and horticulture","Connacht",94
"32905","1926","Apples","Connacht",NA
"32906","1933","Apples","Connacht",NA
"32907","1955","Apples","Connacht",NA
"32908","1960","Apples","Connacht",NA
"32909","1965","Apples","Connacht",219
"32910","1970","Apples","Connacht",120
"32911","1975","Apples","Connacht",85
"32912","1980","Apples","Connacht",26
"32913","1926","Fruit excluding apples","Connacht",NA
"32914","1933","Fruit excluding apples","Connacht",NA
"32915","1955","Fruit excluding apples","Connacht",NA
"32916","1960","Fruit excluding apples","Connacht",NA
"32917","1965","Fruit excluding apples","Connacht",35
"32918","1970","Fruit excluding apples","Connacht",21
"32919","1975","Fruit excluding apples","Connacht",17
"32920","1980","Fruit excluding apples","Connacht",14
"32921","1926","Horticultural bulbs, flowers and bushes","Connacht",NA
"32922","1933","Horticultural bulbs, flowers and bushes","Connacht",NA
"32923","1955","Horticultural bulbs, flowers and bushes","Connacht",NA
"32924","1960","Horticultural bulbs, flowers and bushes","Connacht",34
"32925","1965","Horticultural bulbs, flowers and bushes","Connacht",30
"32926","1970","Horticultural bulbs, flowers and bushes","Connacht",38
"32927","1975","Horticultural bulbs, flowers and bushes","Connacht",32
"32928","1980","Horticultural bulbs, flowers and bushes","Connacht",54
"32929","1926","Hay","Connacht",197653
"32930","1933","Hay","Connacht",191038
"32931","1955","Hay","Connacht",164030
"32932","1960","Hay","Connacht",165080
"32933","1965","Hay","Connacht",167233
"32934","1970","Hay","Connacht",185555
"32935","1975","Hay","Connacht",212493
"32936","1980","Hay","Connacht",239360
"32937","1926","Rye grass for seed","Connacht",NA
"32938","1933","Rye grass for seed","Connacht",NA
"32939","1955","Rye grass for seed","Connacht",NA
"32940","1960","Rye grass for seed","Connacht",291
"32941","1965","Rye grass for seed","Connacht",438
"32942","1970","Rye grass for seed","Connacht",0
"32943","1975","Rye grass for seed","Connacht",0
"32944","1980","Rye grass for seed","Connacht",0
"32945","1926","First to fourth years hay","Connacht",NA
"32946","1933","First to fourth years hay","Connacht",NA
