"","Region","Year","Statistic","value"
"6481","State","1995","Fixed Capital Consumption (Euro Million)",496.38
"6482","Dublin plus Mid East","1995","Fixed Capital Consumption (Euro Million)",95.77
"6483","Border, Midland and Western","1995","Fixed Capital Consumption (Euro Million)",181.19
"6484","Border","1995","Fixed Capital Consumption (Euro Million)",76.5
"6485","Midland","1995","Fixed Capital Consumption (Euro Million)",42.16
"6486","West","1995","Fixed Capital Consumption (Euro Million)",62.53
"6487","Southern and Eastern","1995","Fixed Capital Consumption (Euro Million)",315.19
"6488","Mid-West","1995","Fixed Capital Consumption (Euro Million)",46.42
"6489","South-East","1995","Fixed Capital Consumption (Euro Million)",99.24
"6490","South-West","1995","Fixed Capital Consumption (Euro Million)",73.76
"6491","State","1996","Fixed Capital Consumption (Euro Million)",517.27
"6492","Dublin plus Mid East","1996","Fixed Capital Consumption (Euro Million)",95.99
"6493","Border, Midland and Western","1996","Fixed Capital Consumption (Euro Million)",195.59
"6494","Border","1996","Fixed Capital Consumption (Euro Million)",83.11
"6495","Midland","1996","Fixed Capital Consumption (Euro Million)",45.46
"6496","West","1996","Fixed Capital Consumption (Euro Million)",67.02
"6497","Southern and Eastern","1996","Fixed Capital Consumption (Euro Million)",321.68
"6498","Mid-West","1996","Fixed Capital Consumption (Euro Million)",45.77
"6499","South-East","1996","Fixed Capital Consumption (Euro Million)",93.1
"6500","South-West","1996","Fixed Capital Consumption (Euro Million)",86.83
"6501","State","1997","Fixed Capital Consumption (Euro Million)",532.17
"6502","Dublin plus Mid East","1997","Fixed Capital Consumption (Euro Million)",80.09
"6503","Border, Midland and Western","1997","Fixed Capital Consumption (Euro Million)",199.88
"6504","Border","1997","Fixed Capital Consumption (Euro Million)",86.37
"6505","Midland","1997","Fixed Capital Consumption (Euro Million)",47.52
"6506","West","1997","Fixed Capital Consumption (Euro Million)",65.99
"6507","Southern and Eastern","1997","Fixed Capital Consumption (Euro Million)",332.29
"6508","Mid-West","1997","Fixed Capital Consumption (Euro Million)",47.02
"6509","South-East","1997","Fixed Capital Consumption (Euro Million)",98.52
"6510","South-West","1997","Fixed Capital Consumption (Euro Million)",106.66
"6511","State","1998","Fixed Capital Consumption (Euro Million)",546.58
"6512","Dublin plus Mid East","1998","Fixed Capital Consumption (Euro Million)",80.99
"6513","Border, Midland and Western","1998","Fixed Capital Consumption (Euro Million)",201.86
"6514","Border","1998","Fixed Capital Consumption (Euro Million)",93.12
"6515","Midland","1998","Fixed Capital Consumption (Euro Million)",46.53
"6516","West","1998","Fixed Capital Consumption (Euro Million)",62.21
"6517","Southern and Eastern","1998","Fixed Capital Consumption (Euro Million)",344.72
"6518","Mid-West","1998","Fixed Capital Consumption (Euro Million)",46.43
"6519","South-East","1998","Fixed Capital Consumption (Euro Million)",107.38
"6520","South-West","1998","Fixed Capital Consumption (Euro Million)",109.92
"6521","State","1999","Fixed Capital Consumption (Euro Million)",566.5
"6522","Dublin plus Mid East","1999","Fixed Capital Consumption (Euro Million)",85.28
"6523","Border, Midland and Western","1999","Fixed Capital Consumption (Euro Million)",201.91
"6524","Border","1999","Fixed Capital Consumption (Euro Million)",93.61
"6525","Midland","1999","Fixed Capital Consumption (Euro Million)",41.41
"6526","West","1999","Fixed Capital Consumption (Euro Million)",66.89
"6527","Southern and Eastern","1999","Fixed Capital Consumption (Euro Million)",364.59
"6528","Mid-West","1999","Fixed Capital Consumption (Euro Million)",46.58
"6529","South-East","1999","Fixed Capital Consumption (Euro Million)",108.87
"6530","South-West","1999","Fixed Capital Consumption (Euro Million)",123.86
"6531","State","2000","Fixed Capital Consumption (Euro Million)",589.58
"6532","Dublin plus Mid East","2000","Fixed Capital Consumption (Euro Million)",101.68
"6533","Border, Midland and Western","2000","Fixed Capital Consumption (Euro Million)",201.69
"6534","Border","2000","Fixed Capital Consumption (Euro Million)",89.56
"6535","Midland","2000","Fixed Capital Consumption (Euro Million)",47.69
"6536","West","2000","Fixed Capital Consumption (Euro Million)",64.45
"6537","Southern and Eastern","2000","Fixed Capital Consumption (Euro Million)",387.9
"6538","Mid-West","2000","Fixed Capital Consumption (Euro Million)",50.05
"6539","South-East","2000","Fixed Capital Consumption (Euro Million)",99.23
"6540","South-West","2000","Fixed Capital Consumption (Euro Million)",136.93
"6541","State","2001","Fixed Capital Consumption (Euro Million)",617.76
"6542","Dublin plus Mid East","2001","Fixed Capital Consumption (Euro Million)",102.74
"6543","Border, Midland and Western","2001","Fixed Capital Consumption (Euro Million)",227.77
"6544","Border","2001","Fixed Capital Consumption (Euro Million)",113.86
"6545","Midland","2001","Fixed Capital Consumption (Euro Million)",52.3
"6546","West","2001","Fixed Capital Consumption (Euro Million)",61.6
"6547","Southern and Eastern","2001","Fixed Capital Consumption (Euro Million)",389.99
"6548","Mid-West","2001","Fixed Capital Consumption (Euro Million)",48.68
"6549","South-East","2001","Fixed Capital Consumption (Euro Million)",110.74
"6550","South-West","2001","Fixed Capital Consumption (Euro Million)",127.82
"6551","State","2002","Fixed Capital Consumption (Euro Million)",636.07
"6552","Dublin plus Mid East","2002","Fixed Capital Consumption (Euro Million)",102.11
"6553","Border, Midland and Western","2002","Fixed Capital Consumption (Euro Million)",232.92
"6554","Border","2002","Fixed Capital Consumption (Euro Million)",112.67
"6555","Midland","2002","Fixed Capital Consumption (Euro Million)",56.49
"6556","West","2002","Fixed Capital Consumption (Euro Million)",63.75
"6557","Southern and Eastern","2002","Fixed Capital Consumption (Euro Million)",403.15
"6558","Mid-West","2002","Fixed Capital Consumption (Euro Million)",55.88
"6559","South-East","2002","Fixed Capital Consumption (Euro Million)",119.35
"6560","South-West","2002","Fixed Capital Consumption (Euro Million)",125.82
"6561","State","2003","Fixed Capital Consumption (Euro Million)",639.82
"6562","Dublin plus Mid East","2003","Fixed Capital Consumption (Euro Million)",101.12
"6563","Border, Midland and Western","2003","Fixed Capital Consumption (Euro Million)",235.06
"6564","Border","2003","Fixed Capital Consumption (Euro Million)",113.96
"6565","Midland","2003","Fixed Capital Consumption (Euro Million)",58.79
"6566","West","2003","Fixed Capital Consumption (Euro Million)",62.31
"6567","Southern and Eastern","2003","Fixed Capital Consumption (Euro Million)",404.75
"6568","Mid-West","2003","Fixed Capital Consumption (Euro Million)",52.28
"6569","South-East","2003","Fixed Capital Consumption (Euro Million)",119.85
"6570","South-West","2003","Fixed Capital Consumption (Euro Million)",131.5
"6571","State","2004","Fixed Capital Consumption (Euro Million)",651.85
"6572","Dublin plus Mid East","2004","Fixed Capital Consumption (Euro Million)",103.22
"6573","Border, Midland and Western","2004","Fixed Capital Consumption (Euro Million)",240.66
"6574","Border","2004","Fixed Capital Consumption (Euro Million)",120.41
"6575","Midland","2004","Fixed Capital Consumption (Euro Million)",60.42
"6576","West","2004","Fixed Capital Consumption (Euro Million)",59.83
"6577","Southern and Eastern","2004","Fixed Capital Consumption (Euro Million)",411.19
"6578","Mid-West","2004","Fixed Capital Consumption (Euro Million)",54.84
"6579","South-East","2004","Fixed Capital Consumption (Euro Million)",119.66
"6580","South-West","2004","Fixed Capital Consumption (Euro Million)",133.47
"6581","State","2005","Fixed Capital Consumption (Euro Million)",647.42
"6582","Dublin plus Mid East","2005","Fixed Capital Consumption (Euro Million)",88.59
"6583","Border, Midland and Western","2005","Fixed Capital Consumption (Euro Million)",241.84
"6584","Border","2005","Fixed Capital Consumption (Euro Million)",119.89
"6585","Midland","2005","Fixed Capital Consumption (Euro Million)",64.52
"6586","West","2005","Fixed Capital Consumption (Euro Million)",57.43
"6587","Southern and Eastern","2005","Fixed Capital Consumption (Euro Million)",405.58
"6588","Mid-West","2005","Fixed Capital Consumption (Euro Million)",56.76
"6589","South-East","2005","Fixed Capital Consumption (Euro Million)",116.5
"6590","South-West","2005","Fixed Capital Consumption (Euro Million)",143.72
"6591","State","2006","Fixed Capital Consumption (Euro Million)",666.88
"6592","Dublin plus Mid East","2006","Fixed Capital Consumption (Euro Million)",92.09
"6593","Border, Midland and Western","2006","Fixed Capital Consumption (Euro Million)",251.45
"6594","Border","2006","Fixed Capital Consumption (Euro Million)",121.19
"6595","Midland","2006","Fixed Capital Consumption (Euro Million)",73.62
"6596","West","2006","Fixed Capital Consumption (Euro Million)",56.63
"6597","Southern and Eastern","2006","Fixed Capital Consumption (Euro Million)",415.43
"6598","Mid-West","2006","Fixed Capital Consumption (Euro Million)",61.16
"6599","South-East","2006","Fixed Capital Consumption (Euro Million)",118.38
"6600","South-West","2006","Fixed Capital Consumption (Euro Million)",143.79
"6601","State","2007","Fixed Capital Consumption (Euro Million)",701.81
"6602","Dublin plus Mid East","2007","Fixed Capital Consumption (Euro Million)",109.33
"6603","Border, Midland and Western","2007","Fixed Capital Consumption (Euro Million)",257.44
"6604","Border","2007","Fixed Capital Consumption (Euro Million)",117.3
"6605","Midland","2007","Fixed Capital Consumption (Euro Million)",86.77
"6606","West","2007","Fixed Capital Consumption (Euro Million)",53.37
"6607","Southern and Eastern","2007","Fixed Capital Consumption (Euro Million)",444.37
"6608","Mid-West","2007","Fixed Capital Consumption (Euro Million)",63.14
"6609","South-East","2007","Fixed Capital Consumption (Euro Million)",123.3
"6610","South-West","2007","Fixed Capital Consumption (Euro Million)",148.6
"6611","State","2008","Fixed Capital Consumption (Euro Million)",766.35
"6612","Dublin plus Mid East","2008","Fixed Capital Consumption (Euro Million)",130.59
"6613","Border, Midland and Western","2008","Fixed Capital Consumption (Euro Million)",283.26
"6614","Border","2008","Fixed Capital Consumption (Euro Million)",124.24
"6615","Midland","2008","Fixed Capital Consumption (Euro Million)",100.8
"6616","West","2008","Fixed Capital Consumption (Euro Million)",58.22
"6617","Southern and Eastern","2008","Fixed Capital Consumption (Euro Million)",483.09
"6618","Mid-West","2008","Fixed Capital Consumption (Euro Million)",60.66
"6619","South-East","2008","Fixed Capital Consumption (Euro Million)",136.4
"6620","South-West","2008","Fixed Capital Consumption (Euro Million)",155.44
"6621","State","2009","Fixed Capital Consumption (Euro Million)",774.07
"6622","Dublin plus Mid East","2009","Fixed Capital Consumption (Euro Million)",123.48
"6623","Border, Midland and Western","2009","Fixed Capital Consumption (Euro Million)",285.1
"6624","Border","2009","Fixed Capital Consumption (Euro Million)",124.54
"6625","Midland","2009","Fixed Capital Consumption (Euro Million)",99.63
"6626","West","2009","Fixed Capital Consumption (Euro Million)",60.93
"6627","Southern and Eastern","2009","Fixed Capital Consumption (Euro Million)",488.97
"6628","Mid-West","2009","Fixed Capital Consumption (Euro Million)",68.75
"6629","South-East","2009","Fixed Capital Consumption (Euro Million)",144.07
"6630","South-West","2009","Fixed Capital Consumption (Euro Million)",152.66
"6631","State","2010","Fixed Capital Consumption (Euro Million)",750.43
"6632","Dublin plus Mid East","2010","Fixed Capital Consumption (Euro Million)",137.33
"6633","Border, Midland and Western","2010","Fixed Capital Consumption (Euro Million)",291.27
"6634","Border","2010","Fixed Capital Consumption (Euro Million)",119.45
"6635","Midland","2010","Fixed Capital Consumption (Euro Million)",105.34
"6636","West","2010","Fixed Capital Consumption (Euro Million)",66.48
"6637","Southern and Eastern","2010","Fixed Capital Consumption (Euro Million)",459.15
"6638","Mid-West","2010","Fixed Capital Consumption (Euro Million)",60.05
"6639","South-East","2010","Fixed Capital Consumption (Euro Million)",154.49
"6640","South-West","2010","Fixed Capital Consumption (Euro Million)",107.28
"6641","State","2011","Fixed Capital Consumption (Euro Million)",723.15
"6642","Dublin plus Mid East","2011","Fixed Capital Consumption (Euro Million)",116.72
"6643","Border, Midland and Western","2011","Fixed Capital Consumption (Euro Million)",295.68
"6644","Border","2011","Fixed Capital Consumption (Euro Million)",142.83
"6645","Midland","2011","Fixed Capital Consumption (Euro Million)",100.66
"6646","West","2011","Fixed Capital Consumption (Euro Million)",52.18
"6647","Southern and Eastern","2011","Fixed Capital Consumption (Euro Million)",427.47
"6648","Mid-West","2011","Fixed Capital Consumption (Euro Million)",55.26
"6649","South-East","2011","Fixed Capital Consumption (Euro Million)",159.5
"6650","South-West","2011","Fixed Capital Consumption (Euro Million)",96
"6651","State","2012","Fixed Capital Consumption (Euro Million)",719.97
"6652","Dublin plus Mid East","2012","Fixed Capital Consumption (Euro Million)",101.89
"6653","Border, Midland and Western","2012","Fixed Capital Consumption (Euro Million)",280.59
"6654","Border","2012","Fixed Capital Consumption (Euro Million)",123.91
"6655","Midland","2012","Fixed Capital Consumption (Euro Million)",107.26
"6656","West","2012","Fixed Capital Consumption (Euro Million)",49.43
"6657","Southern and Eastern","2012","Fixed Capital Consumption (Euro Million)",439.37
"6658","Mid-West","2012","Fixed Capital Consumption (Euro Million)",53.8
"6659","South-East","2012","Fixed Capital Consumption (Euro Million)",160.88
"6660","South-West","2012","Fixed Capital Consumption (Euro Million)",122.8
"6661","State","1995","Net Value Added at Basic Prices (Euro Million)",2612.26
"6662","Dublin plus Mid East","1995","Net Value Added at Basic Prices (Euro Million)",253.64
"6663","Border, Midland and Western","1995","Net Value Added at Basic Prices (Euro Million)",949.85
"6664","Border","1995","Net Value Added at Basic Prices (Euro Million)",405.71
"6665","Midland","1995","Net Value Added at Basic Prices (Euro Million)",221.24
"6666","West","1995","Net Value Added at Basic Prices (Euro Million)",322.9
"6667","Southern and Eastern","1995","Net Value Added at Basic Prices (Euro Million)",1662.4
"6668","Mid-West","1995","Net Value Added at Basic Prices (Euro Million)",337.5
"6669","South-East","1995","Net Value Added at Basic Prices (Euro Million)",454.34
"6670","South-West","1995","Net Value Added at Basic Prices (Euro Million)",616.92
"6671","State","1996","Net Value Added at Basic Prices (Euro Million)",2518.53
"6672","Dublin plus Mid East","1996","Net Value Added at Basic Prices (Euro Million)",274.85
"6673","Border, Midland and Western","1996","Net Value Added at Basic Prices (Euro Million)",937.01
"6674","Border","1996","Net Value Added at Basic Prices (Euro Million)",411.99
"6675","Midland","1996","Net Value Added at Basic Prices (Euro Million)",201.45
"6676","West","1996","Net Value Added at Basic Prices (Euro Million)",323.56
"6677","Southern and Eastern","1996","Net Value Added at Basic Prices (Euro Million)",1581.53
"6678","Mid-West","1996","Net Value Added at Basic Prices (Euro Million)",312.05
"6679","South-East","1996","Net Value Added at Basic Prices (Euro Million)",433.65
"6680","South-West","1996","Net Value Added at Basic Prices (Euro Million)",560.98
"6681","State","1997","Net Value Added at Basic Prices (Euro Million)",2291.02
"6682","Dublin plus Mid East","1997","Net Value Added at Basic Prices (Euro Million)",247.48
"6683","Border, Midland and Western","1997","Net Value Added at Basic Prices (Euro Million)",860.73
"6684","Border","1997","Net Value Added at Basic Prices (Euro Million)",363.74
"6685","Midland","1997","Net Value Added at Basic Prices (Euro Million)",189.66
"6686","West","1997","Net Value Added at Basic Prices (Euro Million)",307.33
"6687","Southern and Eastern","1997","Net Value Added at Basic Prices (Euro Million)",1430.29
"6688","Mid-West","1997","Net Value Added at Basic Prices (Euro Million)",295.81
"6689","South-East","1997","Net Value Added at Basic Prices (Euro Million)",395.13
"6690","South-West","1997","Net Value Added at Basic Prices (Euro Million)",491.87
"6691","State","1998","Net Value Added at Basic Prices (Euro Million)",2270.1
"6692","Dublin plus Mid East","1998","Net Value Added at Basic Prices (Euro Million)",257.97
"6693","Border, Midland and Western","1998","Net Value Added at Basic Prices (Euro Million)",854.97
"6694","Border","1998","Net Value Added at Basic Prices (Euro Million)",347.37
"6695","Midland","1998","Net Value Added at Basic Prices (Euro Million)",192.44
"6696","West","1998","Net Value Added at Basic Prices (Euro Million)",315.16
"6697","Southern and Eastern","1998","Net Value Added at Basic Prices (Euro Million)",1415.12
"6698","Mid-West","1998","Net Value Added at Basic Prices (Euro Million)",289.49
"6699","South-East","1998","Net Value Added at Basic Prices (Euro Million)",395.21
"6700","South-West","1998","Net Value Added at Basic Prices (Euro Million)",472.46
"6701","State","1999","Net Value Added at Basic Prices (Euro Million)",1973.88
"6702","Dublin plus Mid East","1999","Net Value Added at Basic Prices (Euro Million)",262.72
"6703","Border, Midland and Western","1999","Net Value Added at Basic Prices (Euro Million)",705.92
"6704","Border","1999","Net Value Added at Basic Prices (Euro Million)",289.31
"6705","Midland","1999","Net Value Added at Basic Prices (Euro Million)",167.8
"6706","West","1999","Net Value Added at Basic Prices (Euro Million)",248.81
"6707","Southern and Eastern","1999","Net Value Added at Basic Prices (Euro Million)",1267.96
"6708","Mid-West","1999","Net Value Added at Basic Prices (Euro Million)",247.48
"6709","South-East","1999","Net Value Added at Basic Prices (Euro Million)",353.98
"6710","South-West","1999","Net Value Added at Basic Prices (Euro Million)",403.79
"6711","State","2000","Net Value Added at Basic Prices (Euro Million)",2188.42
"6712","Dublin plus Mid East","2000","Net Value Added at Basic Prices (Euro Million)",262.34
"6713","Border, Midland and Western","2000","Net Value Added at Basic Prices (Euro Million)",818.48
"6714","Border","2000","Net Value Added at Basic Prices (Euro Million)",345.69
"6715","Midland","2000","Net Value Added at Basic Prices (Euro Million)",189.13
"6716","West","2000","Net Value Added at Basic Prices (Euro Million)",283.66
"6717","Southern and Eastern","2000","Net Value Added at Basic Prices (Euro Million)",1369.94
"6718","Mid-West","2000","Net Value Added at Basic Prices (Euro Million)",272.05
"6719","South-East","2000","Net Value Added at Basic Prices (Euro Million)",399.65
"6720","South-West","2000","Net Value Added at Basic Prices (Euro Million)",435.9
"6721","State","2001","Net Value Added at Basic Prices (Euro Million)",1979.61
"6722","Dublin plus Mid East","2001","Net Value Added at Basic Prices (Euro Million)",261.82
"6723","Border, Midland and Western","2001","Net Value Added at Basic Prices (Euro Million)",621.23
"6724","Border","2001","Net Value Added at Basic Prices (Euro Million)",269.9
"6725","Midland","2001","Net Value Added at Basic Prices (Euro Million)",139.56
"6726","West","2001","Net Value Added at Basic Prices (Euro Million)",211.76
"6727","Southern and Eastern","2001","Net Value Added at Basic Prices (Euro Million)",1358.38
"6728","Mid-West","2001","Net Value Added at Basic Prices (Euro Million)",246.08
"6729","South-East","2001","Net Value Added at Basic Prices (Euro Million)",385.93
"6730","South-West","2001","Net Value Added at Basic Prices (Euro Million)",464.54
"6731","State","2002","Net Value Added at Basic Prices (Euro Million)",1786.79
"6732","Dublin plus Mid East","2002","Net Value Added at Basic Prices (Euro Million)",248.78
"6733","Border, Midland and Western","2002","Net Value Added at Basic Prices (Euro Million)",575.6
"6734","Border","2002","Net Value Added at Basic Prices (Euro Million)",243.42
"6735","Midland","2002","Net Value Added at Basic Prices (Euro Million)",140.89
"6736","West","2002","Net Value Added at Basic Prices (Euro Million)",191.3
"6737","Southern and Eastern","2002","Net Value Added at Basic Prices (Euro Million)",1211.19
"6738","Mid-West","2002","Net Value Added at Basic Prices (Euro Million)",218.57
"6739","South-East","2002","Net Value Added at Basic Prices (Euro Million)",350.94
"6740","South-West","2002","Net Value Added at Basic Prices (Euro Million)",392.9
"6741","State","2003","Net Value Added at Basic Prices (Euro Million)",1874.59
"6742","Dublin plus Mid East","2003","Net Value Added at Basic Prices (Euro Million)",259.71
"6743","Border, Midland and Western","2003","Net Value Added at Basic Prices (Euro Million)",602.87
"6744","Border","2003","Net Value Added at Basic Prices (Euro Million)",254.65
"6745","Midland","2003","Net Value Added at Basic Prices (Euro Million)",147.27
"6746","West","2003","Net Value Added at Basic Prices (Euro Million)",200.96
"6747","Southern and Eastern","2003","Net Value Added at Basic Prices (Euro Million)",1271.72
"6748","Mid-West","2003","Net Value Added at Basic Prices (Euro Million)",222.62
"6749","South-East","2003","Net Value Added at Basic Prices (Euro Million)",374.94
"6750","South-West","2003","Net Value Added at Basic Prices (Euro Million)",414.45
"6751","State","2004","Net Value Added at Basic Prices (Euro Million)",1989
"6752","Dublin plus Mid East","2004","Net Value Added at Basic Prices (Euro Million)",272.82
"6753","Border, Midland and Western","2004","Net Value Added at Basic Prices (Euro Million)",635.54
"6754","Border","2004","Net Value Added at Basic Prices (Euro Million)",239.2
"6755","Midland","2004","Net Value Added at Basic Prices (Euro Million)",173.63
"6756","West","2004","Net Value Added at Basic Prices (Euro Million)",222.72
"6757","Southern and Eastern","2004","Net Value Added at Basic Prices (Euro Million)",1353.46
"6758","Mid-West","2004","Net Value Added at Basic Prices (Euro Million)",250.46
"6759","South-East","2004","Net Value Added at Basic Prices (Euro Million)",406.51
"6760","South-West","2004","Net Value Added at Basic Prices (Euro Million)",423.67
"6761","State","2005","Net Value Added at Basic Prices (Euro Million)",1309.96
"6762","Dublin plus Mid East","2005","Net Value Added at Basic Prices (Euro Million)",187.83
"6763","Border, Midland and Western","2005","Net Value Added at Basic Prices (Euro Million)",391.43
"6764","Border","2005","Net Value Added at Basic Prices (Euro Million)",165.87
"6765","Midland","2005","Net Value Added at Basic Prices (Euro Million)",72.87
"6766","West","2005","Net Value Added at Basic Prices (Euro Million)",152.69
"6767","Southern and Eastern","2005","Net Value Added at Basic Prices (Euro Million)",918.54
"6768","Mid-West","2005","Net Value Added at Basic Prices (Euro Million)",213.92
"6769","South-East","2005","Net Value Added at Basic Prices (Euro Million)",226.72
"6770","South-West","2005","Net Value Added at Basic Prices (Euro Million)",290.06
"6771","State","2006","Net Value Added at Basic Prices (Euro Million)",778.65
"6772","Dublin plus Mid East","2006","Net Value Added at Basic Prices (Euro Million)",144.14
"6773","Border, Midland and Western","2006","Net Value Added at Basic Prices (Euro Million)",130.7
"6774","Border","2006","Net Value Added at Basic Prices (Euro Million)",65.21
"6775","Midland","2006","Net Value Added at Basic Prices (Euro Million)",15.62
"6776","West","2006","Net Value Added at Basic Prices (Euro Million)",49.87
"6777","Southern and Eastern","2006","Net Value Added at Basic Prices (Euro Million)",647.95
"6778","Mid-West","2006","Net Value Added at Basic Prices (Euro Million)",134.23
"6779","South-East","2006","Net Value Added at Basic Prices (Euro Million)",188.27
"6780","South-West","2006","Net Value Added at Basic Prices (Euro Million)",181.31
"6781","State","2007","Net Value Added at Basic Prices (Euro Million)",1047.79
"6782","Dublin plus Mid East","2007","Net Value Added at Basic Prices (Euro Million)",156.96
"6783","Border, Midland and Western","2007","Net Value Added at Basic Prices (Euro Million)",156.51
"6784","Border","2007","Net Value Added at Basic Prices (Euro Million)",100.84
"6785","Midland","2007","Net Value Added at Basic Prices (Euro Million)",1.48
"6786","West","2007","Net Value Added at Basic Prices (Euro Million)",54.19
"6787","Southern and Eastern","2007","Net Value Added at Basic Prices (Euro Million)",891.28
"6788","Mid-West","2007","Net Value Added at Basic Prices (Euro Million)",144.99
"6789","South-East","2007","Net Value Added at Basic Prices (Euro Million)",278.38
"6790","South-West","2007","Net Value Added at Basic Prices (Euro Million)",310.95
"6791","State","2008","Net Value Added at Basic Prices (Euro Million)",675.35
"6792","Dublin plus Mid East","2008","Net Value Added at Basic Prices (Euro Million)",90.52
"6793","Border, Midland and Western","2008","Net Value Added at Basic Prices (Euro Million)",31.77
"6794","Border","2008","Net Value Added at Basic Prices (Euro Million)",15.9
"6795","Midland","2008","Net Value Added at Basic Prices (Euro Million)",-33.38
"6796","West","2008","Net Value Added at Basic Prices (Euro Million)",49.25
"6797","Southern and Eastern","2008","Net Value Added at Basic Prices (Euro Million)",643.58
"6798","Mid-West","2008","Net Value Added at Basic Prices (Euro Million)",99.68
"6799","South-East","2008","Net Value Added at Basic Prices (Euro Million)",206.2
"6800","South-West","2008","Net Value Added at Basic Prices (Euro Million)",247.18
"6801","State","2009","Net Value Added at Basic Prices (Euro Million)",51.02
"6802","Dublin plus Mid East","2009","Net Value Added at Basic Prices (Euro Million)",52.66
"6803","Border, Midland and Western","2009","Net Value Added at Basic Prices (Euro Million)",-120.91
"6804","Border","2009","Net Value Added at Basic Prices (Euro Million)",-35.36
"6805","Midland","2009","Net Value Added at Basic Prices (Euro Million)",-74.76
"6806","West","2009","Net Value Added at Basic Prices (Euro Million)",-10.79
"6807","Southern and Eastern","2009","Net Value Added at Basic Prices (Euro Million)",171.93
"6808","Mid-West","2009","Net Value Added at Basic Prices (Euro Million)",-7.03
"6809","South-East","2009","Net Value Added at Basic Prices (Euro Million)",68.27
"6810","South-West","2009","Net Value Added at Basic Prices (Euro Million)",58.03
"6811","State","2010","Net Value Added at Basic Prices (Euro Million)",625.78
"6812","Dublin plus Mid East","2010","Net Value Added at Basic Prices (Euro Million)",92.09
"6813","Border, Midland and Western","2010","Net Value Added at Basic Prices (Euro Million)",0.14
"6814","Border","2010","Net Value Added at Basic Prices (Euro Million)",29.11
"6815","Midland","2010","Net Value Added at Basic Prices (Euro Million)",-27.5
"6816","West","2010","Net Value Added at Basic Prices (Euro Million)",-1.47
"6817","Southern and Eastern","2010","Net Value Added at Basic Prices (Euro Million)",625.64
"6818","Mid-West","2010","Net Value Added at Basic Prices (Euro Million)",111.94
"6819","South-East","2010","Net Value Added at Basic Prices (Euro Million)",130.25
"6820","South-West","2010","Net Value Added at Basic Prices (Euro Million)",291.35
"6821","State","2011","Net Value Added at Basic Prices (Euro Million)",1061.69
"6822","Dublin plus Mid East","2011","Net Value Added at Basic Prices (Euro Million)",152.22
"6823","Border, Midland and Western","2011","Net Value Added at Basic Prices (Euro Million)",73.23
"6824","Border","2011","Net Value Added at Basic Prices (Euro Million)",16.78
"6825","Midland","2011","Net Value Added at Basic Prices (Euro Million)",7.68
"6826","West","2011","Net Value Added at Basic Prices (Euro Million)",48.78
"6827","Southern and Eastern","2011","Net Value Added at Basic Prices (Euro Million)",988.46
"6828","Mid-West","2011","Net Value Added at Basic Prices (Euro Million)",163.35
"6829","South-East","2011","Net Value Added at Basic Prices (Euro Million)",215.49
"6830","South-West","2011","Net Value Added at Basic Prices (Euro Million)",457.39
"6831","State","2012","Net Value Added at Basic Prices (Euro Million)",1035.48
"6832","Dublin plus Mid East","2012","Net Value Added at Basic Prices (Euro Million)",156.02
"6833","Border, Midland and Western","2012","Net Value Added at Basic Prices (Euro Million)",172.59
"6834","Border","2012","Net Value Added at Basic Prices (Euro Million)",85.11
"6835","Midland","2012","Net Value Added at Basic Prices (Euro Million)",-8.46
"6836","West","2012","Net Value Added at Basic Prices (Euro Million)",95.94
"6837","Southern and Eastern","2012","Net Value Added at Basic Prices (Euro Million)",862.89
"6838","Mid-West","2012","Net Value Added at Basic Prices (Euro Million)",141.45
"6839","South-East","2012","Net Value Added at Basic Prices (Euro Million)",206.25
"6840","South-West","2012","Net Value Added at Basic Prices (Euro Million)",359.17
"6841","State","1995","Other Subsidies Less Taxes on Production (Euro Million)",125.76
"6842","Dublin plus Mid East","1995","Other Subsidies Less Taxes on Production (Euro Million)",12.16
"6843","Border, Midland and Western","1995","Other Subsidies Less Taxes on Production (Euro Million)",68.42
"6844","Border","1995","Other Subsidies Less Taxes on Production (Euro Million)",21.67
"6845","Midland","1995","Other Subsidies Less Taxes on Production (Euro Million)",16.94
"6846","West","1995","Other Subsidies Less Taxes on Production (Euro Million)",29.81
"6847","Southern and Eastern","1995","Other Subsidies Less Taxes on Production (Euro Million)",57.35
"6848","Mid-West","1995","Other Subsidies Less Taxes on Production (Euro Million)",15.43
"6849","South-East","1995","Other Subsidies Less Taxes on Production (Euro Million)",17.42
"6850","South-West","1995","Other Subsidies Less Taxes on Production (Euro Million)",12.34
"6851","State","1996","Other Subsidies Less Taxes on Production (Euro Million)",247.92
"6852","Dublin plus Mid East","1996","Other Subsidies Less Taxes on Production (Euro Million)",18.73
"6853","Border, Midland and Western","1996","Other Subsidies Less Taxes on Production (Euro Million)",129.78
"6854","Border","1996","Other Subsidies Less Taxes on Production (Euro Million)",42.31
"6855","Midland","1996","Other Subsidies Less Taxes on Production (Euro Million)",32.25
"6856","West","1996","Other Subsidies Less Taxes on Production (Euro Million)",55.22
"6857","Southern and Eastern","1996","Other Subsidies Less Taxes on Production (Euro Million)",118.14
"6858","Mid-West","1996","Other Subsidies Less Taxes on Production (Euro Million)",33.83
"6859","South-East","1996","Other Subsidies Less Taxes on Production (Euro Million)",34.92
"6860","South-West","1996","Other Subsidies Less Taxes on Production (Euro Million)",30.66
