"","Statistic","Year","Product","value"
"1017","Estimated Quantity of Agricultural Output (Thousand)","1997","Wheat",601
"1018","Value Index of Agricultural Output (Base 1995=100)","1997","Wheat",146.9
"1019","Value of Changes in Livestock and Crops (Euro Million)","1997","Wheat",NA
"1020","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Wheat",NA
"1021","Estimated Value of Agricultural Output (Euro Million)","1998","Wheat",51.5
"1022","Estimated Quantity of Agricultural Output (Thousand)","1998","Wheat",488
"1023","Value Index of Agricultural Output (Base 1995=100)","1998","Wheat",119.6
"1024","Value of Changes in Livestock and Crops (Euro Million)","1998","Wheat",NA
"1025","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Wheat",NA
"1026","Estimated Value of Agricultural Output (Euro Million)","1999","Wheat",48.5
"1027","Estimated Quantity of Agricultural Output (Thousand)","1999","Wheat",442
"1028","Value Index of Agricultural Output (Base 1995=100)","1999","Wheat",109.1
"1029","Value of Changes in Livestock and Crops (Euro Million)","1999","Wheat",NA
"1030","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Wheat",NA
"1031","Estimated Value of Agricultural Output (Euro Million)","2000","Wheat",63
"1032","Estimated Quantity of Agricultural Output (Thousand)","2000","Wheat",608
"1033","Value Index of Agricultural Output (Base 1995=100)","2000","Wheat",150.6
"1034","Value of Changes in Livestock and Crops (Euro Million)","2000","Wheat",NA
"1035","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Wheat",NA
"1036","Estimated Value of Agricultural Output (Euro Million)","2001","Wheat",57.8
"1037","Estimated Quantity of Agricultural Output (Thousand)","2001","Wheat",493
"1038","Value Index of Agricultural Output (Base 1995=100)","2001","Wheat",123.3
"1039","Value of Changes in Livestock and Crops (Euro Million)","2001","Wheat",NA
"1040","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Wheat",NA
"1041","Estimated Value of Agricultural Output (Euro Million)","2002","Wheat",61
"1042","Estimated Quantity of Agricultural Output (Thousand)","2002","Wheat",628
"1043","Value Index of Agricultural Output (Base 1995=100)","2002","Wheat",156.1
"1044","Value of Changes in Livestock and Crops (Euro Million)","2002","Wheat",NA
"1045","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Wheat",NA
"1046","Estimated Value of Agricultural Output (Euro Million)","2003","Wheat",NA
"1047","Estimated Quantity of Agricultural Output (Thousand)","2003","Wheat",NA
"1048","Value Index of Agricultural Output (Base 1995=100)","2003","Wheat",NA
"1049","Value of Changes in Livestock and Crops (Euro Million)","2003","Wheat",NA
"1050","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Wheat",NA
"1051","Estimated Value of Agricultural Output (Euro Million)","1990","Oats",9.8
"1052","Estimated Quantity of Agricultural Output (Thousand)","1990","Oats",69
"1053","Value Index of Agricultural Output (Base 1995=100)","1990","Oats",NA
"1054","Value of Changes in Livestock and Crops (Euro Million)","1990","Oats",NA
"1055","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Oats",NA
"1056","Estimated Value of Agricultural Output (Euro Million)","1991","Oats",10
"1057","Estimated Quantity of Agricultural Output (Thousand)","1991","Oats",73
"1058","Value Index of Agricultural Output (Base 1995=100)","1991","Oats",NA
"1059","Value of Changes in Livestock and Crops (Euro Million)","1991","Oats",NA
"1060","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Oats",NA
"1061","Estimated Value of Agricultural Output (Euro Million)","1992","Oats",11.2
"1062","Estimated Quantity of Agricultural Output (Thousand)","1992","Oats",81
"1063","Value Index of Agricultural Output (Base 1995=100)","1992","Oats",NA
"1064","Value of Changes in Livestock and Crops (Euro Million)","1992","Oats",NA
"1065","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Oats",NA
"1066","Estimated Value of Agricultural Output (Euro Million)","1993","Oats",10.3
"1067","Estimated Quantity of Agricultural Output (Thousand)","1993","Oats",74
"1068","Value Index of Agricultural Output (Base 1995=100)","1993","Oats",NA
"1069","Value of Changes in Livestock and Crops (Euro Million)","1993","Oats",NA
"1070","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Oats",NA
"1071","Estimated Value of Agricultural Output (Euro Million)","1994","Oats",7.6
"1072","Estimated Quantity of Agricultural Output (Thousand)","1994","Oats",72
"1073","Value Index of Agricultural Output (Base 1995=100)","1994","Oats",NA
"1074","Value of Changes in Livestock and Crops (Euro Million)","1994","Oats",NA
"1075","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Oats",NA
"1076","Estimated Value of Agricultural Output (Euro Million)","1995","Oats",6.5
"1077","Estimated Quantity of Agricultural Output (Thousand)","1995","Oats",51
"1078","Value Index of Agricultural Output (Base 1995=100)","1995","Oats",NA
"1079","Value of Changes in Livestock and Crops (Euro Million)","1995","Oats",NA
"1080","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Oats",NA
"1081","Estimated Value of Agricultural Output (Euro Million)","1996","Oats",9.1
"1082","Estimated Quantity of Agricultural Output (Thousand)","1996","Oats",75
"1083","Value Index of Agricultural Output (Base 1995=100)","1996","Oats",NA
"1084","Value of Changes in Livestock and Crops (Euro Million)","1996","Oats",NA
"1085","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Oats",NA
"1086","Estimated Value of Agricultural Output (Euro Million)","1997","Oats",7.9
"1087","Estimated Quantity of Agricultural Output (Thousand)","1997","Oats",83
"1088","Value Index of Agricultural Output (Base 1995=100)","1997","Oats",NA
"1089","Value of Changes in Livestock and Crops (Euro Million)","1997","Oats",NA
"1090","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Oats",NA
"1091","Estimated Value of Agricultural Output (Euro Million)","1998","Oats",7.3
"1092","Estimated Quantity of Agricultural Output (Thousand)","1998","Oats",74
"1093","Value Index of Agricultural Output (Base 1995=100)","1998","Oats",NA
"1094","Value of Changes in Livestock and Crops (Euro Million)","1998","Oats",NA
"1095","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Oats",NA
"1096","Estimated Value of Agricultural Output (Euro Million)","1999","Oats",8.8
"1097","Estimated Quantity of Agricultural Output (Thousand)","1999","Oats",79
"1098","Value Index of Agricultural Output (Base 1995=100)","1999","Oats",NA
"1099","Value of Changes in Livestock and Crops (Euro Million)","1999","Oats",NA
"1100","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Oats",NA
"1101","Estimated Value of Agricultural Output (Euro Million)","2000","Oats",7.9
"1102","Estimated Quantity of Agricultural Output (Thousand)","2000","Oats",81
"1103","Value Index of Agricultural Output (Base 1995=100)","2000","Oats",NA
"1104","Value of Changes in Livestock and Crops (Euro Million)","2000","Oats",NA
"1105","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Oats",NA
"1106","Estimated Value of Agricultural Output (Euro Million)","2001","Oats",6.7
"1107","Estimated Quantity of Agricultural Output (Thousand)","2001","Oats",69
"1108","Value Index of Agricultural Output (Base 1995=100)","2001","Oats",NA
"1109","Value of Changes in Livestock and Crops (Euro Million)","2001","Oats",NA
"1110","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Oats",NA
"1111","Estimated Value of Agricultural Output (Euro Million)","2002","Oats",7.6
"1112","Estimated Quantity of Agricultural Output (Thousand)","2002","Oats",78
"1113","Value Index of Agricultural Output (Base 1995=100)","2002","Oats",NA
"1114","Value of Changes in Livestock and Crops (Euro Million)","2002","Oats",NA
"1115","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Oats",NA
"1116","Estimated Value of Agricultural Output (Euro Million)","2003","Oats",NA
"1117","Estimated Quantity of Agricultural Output (Thousand)","2003","Oats",NA
"1118","Value Index of Agricultural Output (Base 1995=100)","2003","Oats",NA
"1119","Value of Changes in Livestock and Crops (Euro Million)","2003","Oats",NA
"1120","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Oats",NA
"1121","Estimated Value of Agricultural Output (Euro Million)","1990","Root Crops",NA
"1122","Estimated Quantity of Agricultural Output (Thousand)","1990","Root Crops",NA
"1123","Value Index of Agricultural Output (Base 1995=100)","1990","Root Crops",NA
"1124","Value of Changes in Livestock and Crops (Euro Million)","1990","Root Crops",NA
"1125","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Root Crops",NA
"1126","Estimated Value of Agricultural Output (Euro Million)","1991","Root Crops",NA
"1127","Estimated Quantity of Agricultural Output (Thousand)","1991","Root Crops",NA
"1128","Value Index of Agricultural Output (Base 1995=100)","1991","Root Crops",NA
"1129","Value of Changes in Livestock and Crops (Euro Million)","1991","Root Crops",NA
"1130","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Root Crops",NA
"1131","Estimated Value of Agricultural Output (Euro Million)","1992","Root Crops",NA
"1132","Estimated Quantity of Agricultural Output (Thousand)","1992","Root Crops",NA
"1133","Value Index of Agricultural Output (Base 1995=100)","1992","Root Crops",NA
"1134","Value of Changes in Livestock and Crops (Euro Million)","1992","Root Crops",NA
"1135","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Root Crops",NA
"1136","Estimated Value of Agricultural Output (Euro Million)","1993","Root Crops",NA
"1137","Estimated Quantity of Agricultural Output (Thousand)","1993","Root Crops",NA
"1138","Value Index of Agricultural Output (Base 1995=100)","1993","Root Crops",NA
"1139","Value of Changes in Livestock and Crops (Euro Million)","1993","Root Crops",NA
"1140","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Root Crops",NA
"1141","Estimated Value of Agricultural Output (Euro Million)","1994","Root Crops",NA
"1142","Estimated Quantity of Agricultural Output (Thousand)","1994","Root Crops",NA
"1143","Value Index of Agricultural Output (Base 1995=100)","1994","Root Crops",NA
"1144","Value of Changes in Livestock and Crops (Euro Million)","1994","Root Crops",NA
"1145","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Root Crops",NA
"1146","Estimated Value of Agricultural Output (Euro Million)","1995","Root Crops",NA
"1147","Estimated Quantity of Agricultural Output (Thousand)","1995","Root Crops",NA
"1148","Value Index of Agricultural Output (Base 1995=100)","1995","Root Crops",NA
"1149","Value of Changes in Livestock and Crops (Euro Million)","1995","Root Crops",NA
"1150","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Root Crops",NA
"1151","Estimated Value of Agricultural Output (Euro Million)","1996","Root Crops",NA
"1152","Estimated Quantity of Agricultural Output (Thousand)","1996","Root Crops",NA
"1153","Value Index of Agricultural Output (Base 1995=100)","1996","Root Crops",NA
"1154","Value of Changes in Livestock and Crops (Euro Million)","1996","Root Crops",NA
"1155","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Root Crops",NA
"1156","Estimated Value of Agricultural Output (Euro Million)","1997","Root Crops",NA
"1157","Estimated Quantity of Agricultural Output (Thousand)","1997","Root Crops",NA
"1158","Value Index of Agricultural Output (Base 1995=100)","1997","Root Crops",NA
"1159","Value of Changes in Livestock and Crops (Euro Million)","1997","Root Crops",NA
"1160","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Root Crops",NA
"1161","Estimated Value of Agricultural Output (Euro Million)","1998","Root Crops",NA
"1162","Estimated Quantity of Agricultural Output (Thousand)","1998","Root Crops",NA
"1163","Value Index of Agricultural Output (Base 1995=100)","1998","Root Crops",NA
"1164","Value of Changes in Livestock and Crops (Euro Million)","1998","Root Crops",NA
"1165","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Root Crops",NA
"1166","Estimated Value of Agricultural Output (Euro Million)","1999","Root Crops",NA
"1167","Estimated Quantity of Agricultural Output (Thousand)","1999","Root Crops",NA
"1168","Value Index of Agricultural Output (Base 1995=100)","1999","Root Crops",NA
"1169","Value of Changes in Livestock and Crops (Euro Million)","1999","Root Crops",NA
"1170","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Root Crops",NA
"1171","Estimated Value of Agricultural Output (Euro Million)","2000","Root Crops",NA
"1172","Estimated Quantity of Agricultural Output (Thousand)","2000","Root Crops",NA
"1173","Value Index of Agricultural Output (Base 1995=100)","2000","Root Crops",NA
"1174","Value of Changes in Livestock and Crops (Euro Million)","2000","Root Crops",NA
"1175","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Root Crops",NA
"1176","Estimated Value of Agricultural Output (Euro Million)","2001","Root Crops",NA
"1177","Estimated Quantity of Agricultural Output (Thousand)","2001","Root Crops",NA
"1178","Value Index of Agricultural Output (Base 1995=100)","2001","Root Crops",NA
"1179","Value of Changes in Livestock and Crops (Euro Million)","2001","Root Crops",NA
"1180","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Root Crops",NA
"1181","Estimated Value of Agricultural Output (Euro Million)","2002","Root Crops",NA
"1182","Estimated Quantity of Agricultural Output (Thousand)","2002","Root Crops",NA
"1183","Value Index of Agricultural Output (Base 1995=100)","2002","Root Crops",NA
"1184","Value of Changes in Livestock and Crops (Euro Million)","2002","Root Crops",NA
"1185","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Root Crops",NA
"1186","Estimated Value of Agricultural Output (Euro Million)","2003","Root Crops",NA
"1187","Estimated Quantity of Agricultural Output (Thousand)","2003","Root Crops",NA
"1188","Value Index of Agricultural Output (Base 1995=100)","2003","Root Crops",NA
"1189","Value of Changes in Livestock and Crops (Euro Million)","2003","Root Crops",NA
"1190","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Root Crops",NA
"1191","Estimated Value of Agricultural Output (Euro Million)","1990","Potatoes",73.2
"1192","Estimated Quantity of Agricultural Output (Thousand)","1990","Potatoes",477
"1193","Value Index of Agricultural Output (Base 1995=100)","1990","Potatoes",97.9
"1194","Value of Changes in Livestock and Crops (Euro Million)","1990","Potatoes",NA
"1195","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Potatoes",NA
"1196","Estimated Value of Agricultural Output (Euro Million)","1991","Potatoes",90.2
"1197","Estimated Quantity of Agricultural Output (Thousand)","1991","Potatoes",443
"1198","Value Index of Agricultural Output (Base 1995=100)","1991","Potatoes",87.6
"1199","Value of Changes in Livestock and Crops (Euro Million)","1991","Potatoes",NA
"1200","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Potatoes",NA
"1201","Estimated Value of Agricultural Output (Euro Million)","1992","Potatoes",98.7
"1202","Estimated Quantity of Agricultural Output (Thousand)","1992","Potatoes",501
"1203","Value Index of Agricultural Output (Base 1995=100)","1992","Potatoes",101.3
"1204","Value of Changes in Livestock and Crops (Euro Million)","1992","Potatoes",NA
"1205","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Potatoes",NA
"1206","Estimated Value of Agricultural Output (Euro Million)","1993","Potatoes",85
"1207","Estimated Quantity of Agricultural Output (Thousand)","1993","Potatoes",438
"1208","Value Index of Agricultural Output (Base 1995=100)","1993","Potatoes",86.2
"1209","Value of Changes in Livestock and Crops (Euro Million)","1993","Potatoes",NA
"1210","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Potatoes",NA
"1211","Estimated Value of Agricultural Output (Euro Million)","1994","Potatoes",129.4
"1212","Estimated Quantity of Agricultural Output (Thousand)","1994","Potatoes",499
"1213","Value Index of Agricultural Output (Base 1995=100)","1994","Potatoes",102.8
"1214","Value of Changes in Livestock and Crops (Euro Million)","1994","Potatoes",NA
"1215","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Potatoes",NA
"1216","Estimated Value of Agricultural Output (Euro Million)","1995","Potatoes",132.5
"1217","Estimated Quantity of Agricultural Output (Thousand)","1995","Potatoes",473
"1218","Value Index of Agricultural Output (Base 1995=100)","1995","Potatoes",100
"1219","Value of Changes in Livestock and Crops (Euro Million)","1995","Potatoes",NA
"1220","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Potatoes",NA
"1221","Estimated Value of Agricultural Output (Euro Million)","1996","Potatoes",96
"1222","Estimated Quantity of Agricultural Output (Thousand)","1996","Potatoes",593
"1223","Value Index of Agricultural Output (Base 1995=100)","1996","Potatoes",115.7
"1224","Value of Changes in Livestock and Crops (Euro Million)","1996","Potatoes",NA
"1225","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Potatoes",NA
"1226","Estimated Value of Agricultural Output (Euro Million)","1997","Potatoes",53.6
"1227","Estimated Quantity of Agricultural Output (Thousand)","1997","Potatoes",363
"1228","Value Index of Agricultural Output (Base 1995=100)","1997","Potatoes",73.3
"1229","Value of Changes in Livestock and Crops (Euro Million)","1997","Potatoes",NA
"1230","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Potatoes",NA
"1231","Estimated Value of Agricultural Output (Euro Million)","1998","Potatoes",105.1
"1232","Estimated Quantity of Agricultural Output (Thousand)","1998","Potatoes",375
"1233","Value Index of Agricultural Output (Base 1995=100)","1998","Potatoes",72.4
"1234","Value of Changes in Livestock and Crops (Euro Million)","1998","Potatoes",NA
"1235","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Potatoes",NA
"1236","Estimated Value of Agricultural Output (Euro Million)","1999","Potatoes",120.2
"1237","Estimated Quantity of Agricultural Output (Thousand)","1999","Potatoes",451
"1238","Value Index of Agricultural Output (Base 1995=100)","1999","Potatoes",90.4
"1239","Value of Changes in Livestock and Crops (Euro Million)","1999","Potatoes",NA
"1240","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Potatoes",NA
"1241","Estimated Value of Agricultural Output (Euro Million)","2000","Potatoes",58.4
"1242","Estimated Quantity of Agricultural Output (Thousand)","2000","Potatoes",354
"1243","Value Index of Agricultural Output (Base 1995=100)","2000","Potatoes",63.5
"1244","Value of Changes in Livestock and Crops (Euro Million)","2000","Potatoes",NA
"1245","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Potatoes",NA
"1246","Estimated Value of Agricultural Output (Euro Million)","2001","Potatoes",98.8
"1247","Estimated Quantity of Agricultural Output (Thousand)","2001","Potatoes",377
"1248","Value Index of Agricultural Output (Base 1995=100)","2001","Potatoes",76
"1249","Value of Changes in Livestock and Crops (Euro Million)","2001","Potatoes",NA
"1250","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Potatoes",NA
"1251","Estimated Value of Agricultural Output (Euro Million)","2002","Potatoes",95.8
"1252","Estimated Quantity of Agricultural Output (Thousand)","2002","Potatoes",371
"1253","Value Index of Agricultural Output (Base 1995=100)","2002","Potatoes",72.2
"1254","Value of Changes in Livestock and Crops (Euro Million)","2002","Potatoes",NA
"1255","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Potatoes",NA
"1256","Estimated Value of Agricultural Output (Euro Million)","2003","Potatoes",NA
"1257","Estimated Quantity of Agricultural Output (Thousand)","2003","Potatoes",NA
"1258","Value Index of Agricultural Output (Base 1995=100)","2003","Potatoes",NA
"1259","Value of Changes in Livestock and Crops (Euro Million)","2003","Potatoes",NA
"1260","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Potatoes",NA
"1261","Estimated Value of Agricultural Output (Euro Million)","1990","Sugar Beet",70.5
"1262","Estimated Quantity of Agricultural Output (Thousand)","1990","Sugar Beet",1484
"1263","Value Index of Agricultural Output (Base 1995=100)","1990","Sugar Beet",100.9
"1264","Value of Changes in Livestock and Crops (Euro Million)","1990","Sugar Beet",NA
"1265","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Sugar Beet",NA
"1266","Estimated Value of Agricultural Output (Euro Million)","1991","Sugar Beet",69.1
"1267","Estimated Quantity of Agricultural Output (Thousand)","1991","Sugar Beet",1409
"1268","Value Index of Agricultural Output (Base 1995=100)","1991","Sugar Beet",95.4
"1269","Value of Changes in Livestock and Crops (Euro Million)","1991","Sugar Beet",NA
"1270","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Sugar Beet",NA
"1271","Estimated Value of Agricultural Output (Euro Million)","1992","Sugar Beet",72.5
"1272","Estimated Quantity of Agricultural Output (Thousand)","1992","Sugar Beet",1397
"1273","Value Index of Agricultural Output (Base 1995=100)","1992","Sugar Beet",103.9
"1274","Value of Changes in Livestock and Crops (Euro Million)","1992","Sugar Beet",NA
"1275","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Sugar Beet",NA
"1276","Estimated Value of Agricultural Output (Euro Million)","1993","Sugar Beet",64.2
"1277","Estimated Quantity of Agricultural Output (Thousand)","1993","Sugar Beet",1117
"1278","Value Index of Agricultural Output (Base 1995=100)","1993","Sugar Beet",77.8
"1279","Value of Changes in Livestock and Crops (Euro Million)","1993","Sugar Beet",NA
"1280","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Sugar Beet",NA
"1281","Estimated Value of Agricultural Output (Euro Million)","1994","Sugar Beet",76.4
"1282","Estimated Quantity of Agricultural Output (Thousand)","1994","Sugar Beet",1390
"1283","Value Index of Agricultural Output (Base 1995=100)","1994","Sugar Beet",95.4
"1284","Value of Changes in Livestock and Crops (Euro Million)","1994","Sugar Beet",NA
"1285","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Sugar Beet",NA
"1286","Estimated Value of Agricultural Output (Euro Million)","1995","Sugar Beet",77.1
"1287","Estimated Quantity of Agricultural Output (Thousand)","1995","Sugar Beet",1547
"1288","Value Index of Agricultural Output (Base 1995=100)","1995","Sugar Beet",100
"1289","Value of Changes in Livestock and Crops (Euro Million)","1995","Sugar Beet",NA
"1290","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Sugar Beet",NA
"1291","Estimated Value of Agricultural Output (Euro Million)","1996","Sugar Beet",74.5
"1292","Estimated Quantity of Agricultural Output (Thousand)","1996","Sugar Beet",1476
"1293","Value Index of Agricultural Output (Base 1995=100)","1996","Sugar Beet",101.6
"1294","Value of Changes in Livestock and Crops (Euro Million)","1996","Sugar Beet",NA
"1295","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Sugar Beet",NA
"1296","Estimated Value of Agricultural Output (Euro Million)","1997","Sugar Beet",70.7
"1297","Estimated Quantity of Agricultural Output (Thousand)","1997","Sugar Beet",1407
"1298","Value Index of Agricultural Output (Base 1995=100)","1997","Sugar Beet",90.7
"1299","Value of Changes in Livestock and Crops (Euro Million)","1997","Sugar Beet",NA
"1300","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Sugar Beet",NA
"1301","Estimated Value of Agricultural Output (Euro Million)","1998","Sugar Beet",74.4
"1302","Estimated Quantity of Agricultural Output (Thousand)","1998","Sugar Beet",1399
"1303","Value Index of Agricultural Output (Base 1995=100)","1998","Sugar Beet",96.7
"1304","Value of Changes in Livestock and Crops (Euro Million)","1998","Sugar Beet",NA
"1305","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Sugar Beet",NA
"1306","Estimated Value of Agricultural Output (Euro Million)","1999","Sugar Beet",72.9
"1307","Estimated Quantity of Agricultural Output (Thousand)","1999","Sugar Beet",1405
"1308","Value Index of Agricultural Output (Base 1995=100)","1999","Sugar Beet",95.3
"1309","Value of Changes in Livestock and Crops (Euro Million)","1999","Sugar Beet",NA
"1310","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Sugar Beet",NA
"1311","Estimated Value of Agricultural Output (Euro Million)","2000","Sugar Beet",74.9
"1312","Estimated Quantity of Agricultural Output (Thousand)","2000","Sugar Beet",1418
"1313","Value Index of Agricultural Output (Base 1995=100)","2000","Sugar Beet",98.2
"1314","Value of Changes in Livestock and Crops (Euro Million)","2000","Sugar Beet",NA
"1315","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Sugar Beet",NA
"1316","Estimated Value of Agricultural Output (Euro Million)","2001","Sugar Beet",75.1
"1317","Estimated Quantity of Agricultural Output (Thousand)","2001","Sugar Beet",1372
"1318","Value Index of Agricultural Output (Base 1995=100)","2001","Sugar Beet",95
"1319","Value of Changes in Livestock and Crops (Euro Million)","2001","Sugar Beet",NA
"1320","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Sugar Beet",NA
"1321","Estimated Value of Agricultural Output (Euro Million)","2002","Sugar Beet",72.1
"1322","Estimated Quantity of Agricultural Output (Thousand)","2002","Sugar Beet",1296
"1323","Value Index of Agricultural Output (Base 1995=100)","2002","Sugar Beet",87.7
"1324","Value of Changes in Livestock and Crops (Euro Million)","2002","Sugar Beet",NA
"1325","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Sugar Beet",NA
"1326","Estimated Value of Agricultural Output (Euro Million)","2003","Sugar Beet",NA
"1327","Estimated Quantity of Agricultural Output (Thousand)","2003","Sugar Beet",NA
"1328","Value Index of Agricultural Output (Base 1995=100)","2003","Sugar Beet",NA
"1329","Value of Changes in Livestock and Crops (Euro Million)","2003","Sugar Beet",NA
"1330","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Sugar Beet",NA
"1331","Estimated Value of Agricultural Output (Euro Million)","1990","Vegetables",111.1
"1332","Estimated Quantity of Agricultural Output (Thousand)","1990","Vegetables",NA
"1333","Value Index of Agricultural Output (Base 1995=100)","1990","Vegetables",89.3
"1334","Value of Changes in Livestock and Crops (Euro Million)","1990","Vegetables",NA
"1335","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Vegetables",NA
"1336","Estimated Value of Agricultural Output (Euro Million)","1991","Vegetables",122.3
"1337","Estimated Quantity of Agricultural Output (Thousand)","1991","Vegetables",NA
"1338","Value Index of Agricultural Output (Base 1995=100)","1991","Vegetables",93.8
"1339","Value of Changes in Livestock and Crops (Euro Million)","1991","Vegetables",NA
"1340","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Vegetables",NA
"1341","Estimated Value of Agricultural Output (Euro Million)","1992","Vegetables",117.5
"1342","Estimated Quantity of Agricultural Output (Thousand)","1992","Vegetables",NA
"1343","Value Index of Agricultural Output (Base 1995=100)","1992","Vegetables",94.1
"1344","Value of Changes in Livestock and Crops (Euro Million)","1992","Vegetables",NA
"1345","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Vegetables",NA
"1346","Estimated Value of Agricultural Output (Euro Million)","1993","Vegetables",125.6
"1347","Estimated Quantity of Agricultural Output (Thousand)","1993","Vegetables",NA
"1348","Value Index of Agricultural Output (Base 1995=100)","1993","Vegetables",98.7
"1349","Value of Changes in Livestock and Crops (Euro Million)","1993","Vegetables",NA
"1350","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Vegetables",NA
"1351","Estimated Value of Agricultural Output (Euro Million)","1994","Vegetables",137.7
"1352","Estimated Quantity of Agricultural Output (Thousand)","1994","Vegetables",NA
"1353","Value Index of Agricultural Output (Base 1995=100)","1994","Vegetables",104.6
"1354","Value of Changes in Livestock and Crops (Euro Million)","1994","Vegetables",NA
"1355","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Vegetables",NA
"1356","Estimated Value of Agricultural Output (Euro Million)","1995","Vegetables",135.4
"1357","Estimated Quantity of Agricultural Output (Thousand)","1995","Vegetables",NA
"1358","Value Index of Agricultural Output (Base 1995=100)","1995","Vegetables",100
"1359","Value of Changes in Livestock and Crops (Euro Million)","1995","Vegetables",NA
"1360","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Vegetables",NA
"1361","Estimated Value of Agricultural Output (Euro Million)","1996","Vegetables",160.4
"1362","Estimated Quantity of Agricultural Output (Thousand)","1996","Vegetables",NA
"1363","Value Index of Agricultural Output (Base 1995=100)","1996","Vegetables",105.8
"1364","Value of Changes in Livestock and Crops (Euro Million)","1996","Vegetables",NA
"1365","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Vegetables",NA
"1366","Estimated Value of Agricultural Output (Euro Million)","1997","Vegetables",161.2
"1367","Estimated Quantity of Agricultural Output (Thousand)","1997","Vegetables",NA
"1368","Value Index of Agricultural Output (Base 1995=100)","1997","Vegetables",104.4
"1369","Value of Changes in Livestock and Crops (Euro Million)","1997","Vegetables",NA
"1370","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Vegetables",NA
"1371","Estimated Value of Agricultural Output (Euro Million)","1998","Vegetables",168.1
"1372","Estimated Quantity of Agricultural Output (Thousand)","1998","Vegetables",NA
"1373","Value Index of Agricultural Output (Base 1995=100)","1998","Vegetables",110
"1374","Value of Changes in Livestock and Crops (Euro Million)","1998","Vegetables",NA
