"","Statistic","Year","Type.of.Cow","Size.of.Herd","value"
"1101","Number of Farms with Cattle (Thousand)","1985","Cattle","40-49",11.8
"1102","Number of Cattle (Thousand)","1985","Cattle","40-49",520.5
"1103","Number of Farms with Cattle (Thousand)","1987","Cattle","40-49",11.4
"1104","Number of Cattle (Thousand)","1987","Cattle","40-49",500.9
"1105","Number of Farms with Cattle (Thousand)","1989","Cattle","40-49",10.2
"1106","Number of Cattle (Thousand)","1989","Cattle","40-49",451.4
"1107","Number of Farms with Cattle (Thousand)","1991","Cattle","40-49",11.5
"1108","Number of Cattle (Thousand)","1991","Cattle","40-49",508.5
"1109","Number of Farms with Cattle (Thousand)","1993","Cattle","40-49",10.5
"1110","Number of Cattle (Thousand)","1993","Cattle","40-49",476.8
"1111","Number of Farms with Cattle (Thousand)","1995","Cattle","40-49",10.4
"1112","Number of Cattle (Thousand)","1995","Cattle","40-49",481.8
"1113","Number of Farms with Cattle (Thousand)","1997","Cattle","40-49",10
"1114","Number of Cattle (Thousand)","1997","Cattle","40-49",476.4
"1115","Number of Farms with Cattle (Thousand)","1999","Cattle","40-49",9.7
"1116","Number of Cattle (Thousand)","1999","Cattle","40-49",458.1
"1117","Number of Farms with Cattle (Thousand)","2001","Cattle","40-49",9
"1118","Number of Cattle (Thousand)","2001","Cattle","40-49",394.3
"1119","Number of Farms with Cattle (Thousand)","2003","Cattle","40-49",8.9
"1120","Number of Cattle (Thousand)","2003","Cattle","40-49",409.8
"1121","Number of Farms with Cattle (Thousand)","2005","Cattle","40-49",9.2
"1122","Number of Cattle (Thousand)","2005","Cattle","40-49",383.7
"1123","Number of Farms with Cattle (Thousand)","1973","Cows","40-49",3.5
"1124","Number of Cattle (Thousand)","1973","Cows","40-49",150.3
"1125","Number of Farms with Cattle (Thousand)","1975","Cows","40-49",3.4
"1126","Number of Cattle (Thousand)","1975","Cows","40-49",145.1
"1127","Number of Farms with Cattle (Thousand)","1977","Cows","40-49",4
"1128","Number of Cattle (Thousand)","1977","Cows","40-49",170.2
"1129","Number of Farms with Cattle (Thousand)","1979","Cows","40-49",3.9
"1130","Number of Cattle (Thousand)","1979","Cows","40-49",166.4
"1131","Number of Farms with Cattle (Thousand)","1981","Cows","40-49",3.9
"1132","Number of Cattle (Thousand)","1981","Cows","40-49",169.2
"1133","Number of Farms with Cattle (Thousand)","1983","Cows","40-49",4.3
"1134","Number of Cattle (Thousand)","1983","Cows","40-49",182.6
"1135","Number of Farms with Cattle (Thousand)","1985","Cows","40-49",4.8
"1136","Number of Cattle (Thousand)","1985","Cows","40-49",204
"1137","Number of Farms with Cattle (Thousand)","1987","Cows","40-49",4.4
"1138","Number of Cattle (Thousand)","1987","Cows","40-49",188.6
"1139","Number of Farms with Cattle (Thousand)","1989","Cows","40-49",4.8
"1140","Number of Cattle (Thousand)","1989","Cows","40-49",203.4
"1141","Number of Farms with Cattle (Thousand)","1991","Cows","40-49",5.2
"1142","Number of Cattle (Thousand)","1991","Cows","40-49",221.4
"1143","Number of Farms with Cattle (Thousand)","1993","Cows","40-49",5.1
"1144","Number of Cattle (Thousand)","1993","Cows","40-49",236.6
"1145","Number of Farms with Cattle (Thousand)","1995","Cows","40-49",5.6
"1146","Number of Cattle (Thousand)","1995","Cows","40-49",259.1
"1147","Number of Farms with Cattle (Thousand)","1997","Cows","40-49",6.1
"1148","Number of Cattle (Thousand)","1997","Cows","40-49",291.3
"1149","Number of Farms with Cattle (Thousand)","1999","Cows","40-49",6.7
"1150","Number of Cattle (Thousand)","1999","Cows","40-49",286.8
"1151","Number of Farms with Cattle (Thousand)","2001","Cows","40-49",7.3
"1152","Number of Cattle (Thousand)","2001","Cows","40-49",309.8
"1153","Number of Farms with Cattle (Thousand)","2003","Cows","40-49",6.5
"1154","Number of Cattle (Thousand)","2003","Cows","40-49",298.1
"1155","Number of Farms with Cattle (Thousand)","2005","Cows","40-49",6.4
"1156","Number of Cattle (Thousand)","2005","Cows","40-49",269.2
"1157","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","40-49",2.5
"1158","Number of Cattle (Thousand)","1973","Dairy Cows","40-49",107.5
"1159","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","40-49",2.7
"1160","Number of Cattle (Thousand)","1975","Dairy Cows","40-49",116.1
"1161","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","40-49",3.4
"1162","Number of Cattle (Thousand)","1977","Dairy Cows","40-49",145.9
"1163","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","40-49",3.6
"1164","Number of Cattle (Thousand)","1979","Dairy Cows","40-49",153.9
"1165","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","40-49",3.6
"1166","Number of Cattle (Thousand)","1981","Dairy Cows","40-49",155.8
"1167","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","40-49",3.9
"1168","Number of Cattle (Thousand)","1983","Dairy Cows","40-49",166.2
"1169","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","40-49",4.3
"1170","Number of Cattle (Thousand)","1985","Dairy Cows","40-49",185
"1171","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","40-49",4.1
"1172","Number of Cattle (Thousand)","1987","Dairy Cows","40-49",174.5
"1173","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","40-49",4.2
"1174","Number of Cattle (Thousand)","1989","Dairy Cows","40-49",180.6
"1175","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","40-49",4
"1176","Number of Cattle (Thousand)","1991","Dairy Cows","40-49",174.1
"1177","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","40-49",3.8
"1178","Number of Cattle (Thousand)","1993","Dairy Cows","40-49",168.3
"1179","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","40-49",4
"1180","Number of Cattle (Thousand)","1995","Dairy Cows","40-49",175.9
"1181","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","40-49",4.3
"1182","Number of Cattle (Thousand)","1997","Dairy Cows","40-49",187.9
"1183","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","40-49",4.3
"1184","Number of Cattle (Thousand)","1999","Dairy Cows","40-49",194.3
"1185","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","40-49",4.9
"1186","Number of Cattle (Thousand)","2001","Dairy Cows","40-49",211.1
"1187","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","40-49",4.4
"1188","Number of Cattle (Thousand)","2003","Dairy Cows","40-49",202.5
"1189","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","40-49",4.5
"1190","Number of Cattle (Thousand)","2005","Dairy Cows","40-49",179.5
"1191","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","40-49",0.8
"1192","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","40-49",36.1
"1193","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","40-49",0.4
"1194","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","40-49",18.6
"1195","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","40-49",0.4
"1196","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","40-49",16.1
"1197","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","40-49",0.2
"1198","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","40-49",10.5
"1199","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","40-49",0.3
"1200","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","40-49",10.7
"1201","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","40-49",0.3
"1202","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","40-49",11.4
"1203","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","40-49",0.3
"1204","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","40-49",12
"1205","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","40-49",0.3
"1206","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","40-49",11.7
"1207","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","40-49",0.7
"1208","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","40-49",28.5
"1209","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","40-49",0.7
"1210","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","40-49",31.4
"1211","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","40-49",1.2
"1212","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","40-49",51.2
"1213","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","40-49",1.4
"1214","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","40-49",62.7
"1215","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","40-49",1.9
"1216","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","40-49",86.9
"1217","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","40-49",1.9
"1218","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","40-49",92.6
"1219","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","40-49",2.2
"1220","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","40-49",98.7
"1221","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","40-49",2
"1222","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","40-49",95.5
"1223","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","40-49",2
"1224","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","40-49",89.7
"1225","Number of Farms with Cattle (Thousand)","1973","Cattle","50-59",8.6
"1226","Number of Cattle (Thousand)","1973","Cattle","50-59",466.8
"1227","Number of Farms with Cattle (Thousand)","1975","Cattle","50-59",8.3
"1228","Number of Cattle (Thousand)","1975","Cattle","50-59",447
"1229","Number of Farms with Cattle (Thousand)","1977","Cattle","50-59",9.2
"1230","Number of Cattle (Thousand)","1977","Cattle","50-59",499.4
"1231","Number of Farms with Cattle (Thousand)","1979","Cattle","50-59",8.6
"1232","Number of Cattle (Thousand)","1979","Cattle","50-59",463.6
"1233","Number of Farms with Cattle (Thousand)","1981","Cattle","50-59",8.2
"1234","Number of Cattle (Thousand)","1981","Cattle","50-59",443.2
"1235","Number of Farms with Cattle (Thousand)","1983","Cattle","50-59",8.5
"1236","Number of Cattle (Thousand)","1983","Cattle","50-59",456.8
"1237","Number of Farms with Cattle (Thousand)","1985","Cattle","50-59",8.2
"1238","Number of Cattle (Thousand)","1985","Cattle","50-59",443.8
"1239","Number of Farms with Cattle (Thousand)","1987","Cattle","50-59",7.9
"1240","Number of Cattle (Thousand)","1987","Cattle","50-59",426
"1241","Number of Farms with Cattle (Thousand)","1989","Cattle","50-59",9
"1242","Number of Cattle (Thousand)","1989","Cattle","50-59",486.5
"1243","Number of Farms with Cattle (Thousand)","1991","Cattle","50-59",9
"1244","Number of Cattle (Thousand)","1991","Cattle","50-59",486.4
"1245","Number of Farms with Cattle (Thousand)","1993","Cattle","50-59",8.4
"1246","Number of Cattle (Thousand)","1993","Cattle","50-59",467
"1247","Number of Farms with Cattle (Thousand)","1995","Cattle","50-59",7.8
"1248","Number of Cattle (Thousand)","1995","Cattle","50-59",443.6
"1249","Number of Farms with Cattle (Thousand)","1997","Cattle","50-59",7.9
"1250","Number of Cattle (Thousand)","1997","Cattle","50-59",459.7
"1251","Number of Farms with Cattle (Thousand)","1999","Cattle","50-59",7.4
"1252","Number of Cattle (Thousand)","1999","Cattle","50-59",431.8
"1253","Number of Farms with Cattle (Thousand)","2001","Cattle","50-59",7.1
"1254","Number of Cattle (Thousand)","2001","Cattle","50-59",386.2
"1255","Number of Farms with Cattle (Thousand)","2003","Cattle","50-59",6.5
"1256","Number of Cattle (Thousand)","2003","Cattle","50-59",366.8
"1257","Number of Farms with Cattle (Thousand)","2005","Cattle","50-59",7
"1258","Number of Cattle (Thousand)","2005","Cattle","50-59",356.6
"1259","Number of Farms with Cattle (Thousand)","1973","Cows","50-59",1.7
"1260","Number of Cattle (Thousand)","1973","Cows","50-59",87
"1261","Number of Farms with Cattle (Thousand)","1975","Cows","50-59",1.7
"1262","Number of Cattle (Thousand)","1975","Cows","50-59",88
"1263","Number of Farms with Cattle (Thousand)","1977","Cows","50-59",1.9
"1264","Number of Cattle (Thousand)","1977","Cows","50-59",99.7
"1265","Number of Farms with Cattle (Thousand)","1979","Cows","50-59",2.3
"1266","Number of Cattle (Thousand)","1979","Cows","50-59",120
"1267","Number of Farms with Cattle (Thousand)","1981","Cows","50-59",2.2
"1268","Number of Cattle (Thousand)","1981","Cows","50-59",117.4
"1269","Number of Farms with Cattle (Thousand)","1983","Cows","50-59",2.4
"1270","Number of Cattle (Thousand)","1983","Cows","50-59",126.8
"1271","Number of Farms with Cattle (Thousand)","1985","Cows","50-59",2.5
"1272","Number of Cattle (Thousand)","1985","Cows","50-59",134.7
"1273","Number of Farms with Cattle (Thousand)","1987","Cows","50-59",2.5
"1274","Number of Cattle (Thousand)","1987","Cows","50-59",130.6
"1275","Number of Farms with Cattle (Thousand)","1989","Cows","50-59",2.9
"1276","Number of Cattle (Thousand)","1989","Cows","50-59",153.1
"1277","Number of Farms with Cattle (Thousand)","1991","Cows","50-59",3
"1278","Number of Cattle (Thousand)","1991","Cows","50-59",158.1
"1279","Number of Farms with Cattle (Thousand)","1993","Cows","50-59",3
"1280","Number of Cattle (Thousand)","1993","Cows","50-59",171.9
"1281","Number of Farms with Cattle (Thousand)","1995","Cows","50-59",3.1
"1282","Number of Cattle (Thousand)","1995","Cows","50-59",172.3
"1283","Number of Farms with Cattle (Thousand)","1997","Cows","50-59",3.3
"1284","Number of Cattle (Thousand)","1997","Cows","50-59",191.8
"1285","Number of Farms with Cattle (Thousand)","1999","Cows","50-59",3.5
"1286","Number of Cattle (Thousand)","1999","Cows","50-59",176.7
"1287","Number of Farms with Cattle (Thousand)","2001","Cows","50-59",4
"1288","Number of Cattle (Thousand)","2001","Cows","50-59",200.9
"1289","Number of Farms with Cattle (Thousand)","2003","Cows","50-59",4.1
"1290","Number of Cattle (Thousand)","2003","Cows","50-59",212.8
"1291","Number of Farms with Cattle (Thousand)","2005","Cows","50-59",4.5
"1292","Number of Cattle (Thousand)","2005","Cows","50-59",225.2
"1293","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","50-59",1.2
"1294","Number of Cattle (Thousand)","1973","Dairy Cows","50-59",63.2
"1295","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","50-59",1.5
"1296","Number of Cattle (Thousand)","1975","Dairy Cows","50-59",77.4
"1297","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","50-59",1.7
"1298","Number of Cattle (Thousand)","1977","Dairy Cows","50-59",88.9
"1299","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","50-59",2.1
"1300","Number of Cattle (Thousand)","1979","Dairy Cows","50-59",107.5
"1301","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","50-59",2.1
"1302","Number of Cattle (Thousand)","1981","Dairy Cows","50-59",109.1
"1303","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","50-59",2.2
"1304","Number of Cattle (Thousand)","1983","Dairy Cows","50-59",117.8
"1305","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","50-59",2.5
"1306","Number of Cattle (Thousand)","1985","Dairy Cows","50-59",130.5
"1307","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","50-59",2.3
"1308","Number of Cattle (Thousand)","1987","Dairy Cows","50-59",120.1
"1309","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","50-59",2.3
"1310","Number of Cattle (Thousand)","1989","Dairy Cows","50-59",123.4
"1311","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","50-59",2.4
"1312","Number of Cattle (Thousand)","1991","Dairy Cows","50-59",125.9
"1313","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","50-59",2.3
"1314","Number of Cattle (Thousand)","1993","Dairy Cows","50-59",127.1
"1315","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","50-59",2.4
"1316","Number of Cattle (Thousand)","1995","Dairy Cows","50-59",127.1
"1317","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","50-59",2.4
"1318","Number of Cattle (Thousand)","1997","Dairy Cows","50-59",130.7
"1319","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","50-59",2.4
"1320","Number of Cattle (Thousand)","1999","Dairy Cows","50-59",133.6
"1321","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","50-59",2.8
"1322","Number of Cattle (Thousand)","2001","Dairy Cows","50-59",147.7
"1323","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","50-59",2.9
"1324","Number of Cattle (Thousand)","2003","Dairy Cows","50-59",165
"1325","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","50-59",3.4
"1326","Number of Cattle (Thousand)","2005","Dairy Cows","50-59",168.9
"1327","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","50-59",0.4
"1328","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","50-59",19.1
"1329","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","50-59",0.2
"1330","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","50-59",11.4
"1331","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","50-59",0.2
"1332","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","50-59",8.9
"1333","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","50-59",0.1
"1334","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","50-59",6.8
"1335","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","50-59",0.1
"1336","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","50-59",4.9
"1337","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","50-59",0.1
"1338","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","50-59",4.7
"1339","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","50-59",0.1
"1340","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","50-59",4.8
"1341","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","50-59",0.1
"1342","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","50-59",5.1
"1343","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","50-59",0.2
"1344","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","50-59",8.4
"1345","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","50-59",0.4
"1346","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","50-59",20.8
"1347","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","50-59",0.5
"1348","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","50-59",29.3
"1349","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","50-59",0.6
"1350","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","50-59",34.1
"1351","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","50-59",0.7
"1352","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","50-59",41.9
"1353","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","50-59",0.7
"1354","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","50-59",43.2
"1355","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","50-59",0.9
"1356","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","50-59",53.2
"1357","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","50-59",0.8
"1358","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","50-59",47.8
"1359","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","50-59",1
"1360","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","50-59",56.3
"1361","Number of Farms with Cattle (Thousand)","1973","Cattle","60-99",16.7
"1362","Number of Cattle (Thousand)","1973","Cattle","60-99",1262.7
"1363","Number of Farms with Cattle (Thousand)","1975","Cattle","60-99",15.8
"1364","Number of Cattle (Thousand)","1975","Cattle","60-99",1187.2
"1365","Number of Farms with Cattle (Thousand)","1977","Cattle","60-99",17.3
"1366","Number of Cattle (Thousand)","1977","Cattle","60-99",1303.1
"1367","Number of Farms with Cattle (Thousand)","1979","Cattle","60-99",17
"1368","Number of Cattle (Thousand)","1979","Cattle","60-99",1281.3
"1369","Number of Farms with Cattle (Thousand)","1981","Cattle","60-99",15.7
"1370","Number of Cattle (Thousand)","1981","Cattle","60-99",1182.1
"1371","Number of Farms with Cattle (Thousand)","1983","Cattle","60-99",16.1
"1372","Number of Cattle (Thousand)","1983","Cattle","60-99",1210.6
"1373","Number of Farms with Cattle (Thousand)","1985","Cattle","60-99",16.5
"1374","Number of Cattle (Thousand)","1985","Cattle","60-99",1242.8
"1375","Number of Farms with Cattle (Thousand)","1987","Cattle","60-99",15.8
"1376","Number of Cattle (Thousand)","1987","Cattle","60-99",1195.9
"1377","Number of Farms with Cattle (Thousand)","1989","Cattle","60-99",16.6
"1378","Number of Cattle (Thousand)","1989","Cattle","60-99",1269.9
"1379","Number of Farms with Cattle (Thousand)","1991","Cattle","60-99",18.4
"1380","Number of Cattle (Thousand)","1991","Cattle","60-99",1369.5
"1381","Number of Farms with Cattle (Thousand)","1993","Cattle","60-99",18
"1382","Number of Cattle (Thousand)","1993","Cattle","60-99",1400.2
"1383","Number of Farms with Cattle (Thousand)","1995","Cattle","60-99",18
"1384","Number of Cattle (Thousand)","1995","Cattle","60-99",1435.6
"1385","Number of Farms with Cattle (Thousand)","1997","Cattle","60-99",18.5
"1386","Number of Cattle (Thousand)","1997","Cattle","60-99",1523.3
"1387","Number of Farms with Cattle (Thousand)","1999","Cattle","60-99",17.6
"1388","Number of Cattle (Thousand)","1999","Cattle","60-99",1455
"1389","Number of Farms with Cattle (Thousand)","2001","Cattle","60-99",18.2
"1390","Number of Cattle (Thousand)","2001","Cattle","60-99",1395.6
"1391","Number of Farms with Cattle (Thousand)","2003","Cattle","60-99",15.9
"1392","Number of Cattle (Thousand)","2003","Cattle","60-99",1280.3
"1393","Number of Farms with Cattle (Thousand)","2005","Cattle","60-99",17
"1394","Number of Cattle (Thousand)","2005","Cattle","60-99",1235.8
"1395","Number of Farms with Cattle (Thousand)","1973","Cows","60-99",2.1
"1396","Number of Cattle (Thousand)","1973","Cows","60-99",150
"1397","Number of Farms with Cattle (Thousand)","1975","Cows","60-99",2
"1398","Number of Cattle (Thousand)","1975","Cows","60-99",139.9
"1399","Number of Farms with Cattle (Thousand)","1977","Cows","60-99",2.4
"1400","Number of Cattle (Thousand)","1977","Cows","60-99",170.4
"1401","Number of Farms with Cattle (Thousand)","1979","Cows","60-99",3
"1402","Number of Cattle (Thousand)","1979","Cows","60-99",214.5
"1403","Number of Farms with Cattle (Thousand)","1981","Cows","60-99",3.1
"1404","Number of Cattle (Thousand)","1981","Cows","60-99",220.3
"1405","Number of Farms with Cattle (Thousand)","1983","Cows","60-99",3.6
"1406","Number of Cattle (Thousand)","1983","Cows","60-99",256
"1407","Number of Farms with Cattle (Thousand)","1985","Cows","60-99",3.9
"1408","Number of Cattle (Thousand)","1985","Cows","60-99",281
"1409","Number of Farms with Cattle (Thousand)","1987","Cows","60-99",3.8
"1410","Number of Cattle (Thousand)","1987","Cows","60-99",276.5
"1411","Number of Farms with Cattle (Thousand)","1989","Cows","60-99",4.2
"1412","Number of Cattle (Thousand)","1989","Cows","60-99",299.2
"1413","Number of Farms with Cattle (Thousand)","1991","Cows","60-99",3.8
"1414","Number of Cattle (Thousand)","1991","Cows","60-99",276.3
"1415","Number of Farms with Cattle (Thousand)","1993","Cows","60-99",3.8
"1416","Number of Cattle (Thousand)","1993","Cows","60-99",292.3
"1417","Number of Farms with Cattle (Thousand)","1995","Cows","60-99",4.1
"1418","Number of Cattle (Thousand)","1995","Cows","60-99",318.6
"1419","Number of Farms with Cattle (Thousand)","1997","Cows","60-99",4.2
"1420","Number of Cattle (Thousand)","1997","Cows","60-99",335.5
"1421","Number of Farms with Cattle (Thousand)","1999","Cows","60-99",4.4
"1422","Number of Cattle (Thousand)","1999","Cows","60-99",302.3
"1423","Number of Farms with Cattle (Thousand)","2001","Cows","60-99",5.4
"1424","Number of Cattle (Thousand)","2001","Cows","60-99",355.5
"1425","Number of Farms with Cattle (Thousand)","2003","Cows","60-99",5.4
"1426","Number of Cattle (Thousand)","2003","Cows","60-99",372.3
"1427","Number of Farms with Cattle (Thousand)","2005","Cows","60-99",6.9
"1428","Number of Cattle (Thousand)","2005","Cows","60-99",437.9
"1429","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","60-99",1.4
"1430","Number of Cattle (Thousand)","1973","Dairy Cows","60-99",107.5
"1431","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","60-99",1.7
"1432","Number of Cattle (Thousand)","1975","Dairy Cows","60-99",122.8
"1433","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","60-99",2.1
"1434","Number of Cattle (Thousand)","1977","Dairy Cows","60-99",146.5
"1435","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","60-99",2.7
"1436","Number of Cattle (Thousand)","1979","Dairy Cows","60-99",194.2
"1437","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","60-99",2.9
"1438","Number of Cattle (Thousand)","1981","Dairy Cows","60-99",205.2
"1439","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","60-99",3.4
"1440","Number of Cattle (Thousand)","1983","Dairy Cows","60-99",243.8
"1441","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","60-99",3.6
"1442","Number of Cattle (Thousand)","1985","Dairy Cows","60-99",260.4
"1443","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","60-99",3.6
"1444","Number of Cattle (Thousand)","1987","Dairy Cows","60-99",255.6
"1445","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","60-99",3.6
"1446","Number of Cattle (Thousand)","1989","Dairy Cows","60-99",259.6
"1447","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","60-99",3.1
"1448","Number of Cattle (Thousand)","1991","Dairy Cows","60-99",226.8
"1449","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","60-99",3
"1450","Number of Cattle (Thousand)","1993","Dairy Cows","60-99",220
"1451","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","60-99",3.3
"1452","Number of Cattle (Thousand)","1995","Dairy Cows","60-99",239.9
"1453","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","60-99",3.3
"1454","Number of Cattle (Thousand)","1997","Dairy Cows","60-99",238.4
"1455","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","60-99",3.2
"1456","Number of Cattle (Thousand)","1999","Dairy Cows","60-99",238.1
"1457","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","60-99",3.9
"1458","Number of Cattle (Thousand)","2001","Dairy Cows","60-99",279.5
"1459","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","60-99",4
"1460","Number of Cattle (Thousand)","2003","Dairy Cows","60-99",300
"1461","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","60-99",5.2
"1462","Number of Cattle (Thousand)","2005","Dairy Cows","60-99",346.1
